hgnc_symbol	description	keep_in_list (CORRECTED DATA)	keep_in_list (INCORRECT DATA. IGNORE THIS COLUMN)	comments	ensembl_gene_ids	uniprot_gn_ids	Protein.families	consensus_score
PDGFRA	platelet derived growth factor receptor alpha	Yes	Yes		ENSG00000134853	P16234	"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily"	22
TGFBR1	transforming growth factor beta receptor 1	Yes	Yes		ENSG00000106799	P36897	"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"	22
TNFRSF14	TNF receptor superfamily member 14	Yes	Yes		"ENSG00000273936, ENSG00000157873"	Q92956	Tumor necrosis factor receptor superfamily	22
ACVR1B	activin A receptor type 1B	Yes	Yes		ENSG00000135503	P36896	"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"	21
ACVR2A	activin A receptor type 2A	Yes	Yes		ENSG00000121989	P27037	"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"	21
ACVR2B	activin A receptor type 2B	Yes	No		ENSG00000114739	Q13705	"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"	21
AXL	AXL receptor tyrosine kinase	Yes	Yes		ENSG00000167601	P30530	"Protein kinase superfamily, Tyr protein kinase family, AXL/UFO subfamily"	21
BMPR1A	bone morphogenetic protein receptor type 1A	Yes	Yes		ENSG00000107779	P36894	"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"	21
BMPR2	bone morphogenetic protein receptor type 2	Yes	Yes		ENSG00000204217	Q13873	"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"	21
CCR1	C-C motif chemokine receptor 1	Yes	No		ENSG00000163823	P32246	G-protein coupled receptor 1 family	21
CCR3	C-C motif chemokine receptor 3	Yes	No		ENSG00000183625	P51677	G-protein coupled receptor 1 family	21
CCR6	C-C motif chemokine receptor 6	Yes	No		ENSG00000112486	P51684	G-protein coupled receptor 1 family	21
CCR7	C-C motif chemokine receptor 7	Yes	No		ENSG00000126353	P32248	G-protein coupled receptor 1 family	21
CXCR2	C-X-C motif chemokine receptor 2	Yes	Yes		ENSG00000180871	P25025	G-protein coupled receptor 1 family	21
CXCR5	C-X-C motif chemokine receptor 5	Yes	No		ENSG00000160683	P32302	G-protein coupled receptor 1 family	21
EDNRA	endothelin receptor type A	Yes	Yes		ENSG00000151617	P25101	"G-protein coupled receptor 1 family, Endothelin receptor subfamily, EDNRA sub-subfamily"	21
EPOR	erythropoietin receptor	Yes	Yes		ENSG00000187266	P19235	"Type I cytokine receptor family, Type 1 subfamily"	21
ERBB4	erb-b2 receptor tyrosine kinase 4	Yes	No		ENSG00000178568	Q15303	"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily"	21
FZD1	frizzled class receptor 1	Yes	Yes		ENSG00000157240	Q9UP38	G-protein coupled receptor Fz/Smo family	21
FZD3	frizzled class receptor 3	Yes	Yes		ENSG00000104290	Q9NPG1	G-protein coupled receptor Fz/Smo family	21
FZD5	frizzled class receptor 5	Yes	Yes		ENSG00000163251	Q13467	G-protein coupled receptor Fz/Smo family	21
IGF1R	insulin like growth factor 1 receptor	Yes	No		ENSG00000140443	P08069	"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily"	21
IL12RB1	interleukin 12 receptor subunit beta 1	Yes	No		ENSG00000096996	P42701	"Type I cytokine receptor family, Type 2 subfamily"	21
IL15RA	interleukin 15 receptor subunit alpha	Yes	TBD		ENSG00000134470	Q13261	NA	21
IL2RG	interleukin 2 receptor subunit gamma	Yes	No		ENSG00000147168	P31785	"Type I cytokine receptor family, Type 5 subfamily"	21
IL3RA	interleukin 3 receptor subunit alpha	Yes	Yes		ENSG00000185291	P26951	"Type I cytokine receptor family, Type 5 subfamily"	21
IL6ST	interleukin 6 cytokine family signal transducer	Yes	Yes		ENSG00000134352	P40189	"Type I cytokine receptor family, Type 2 subfamily"	21
IL7R	interleukin 7 receptor	Yes	Yes		ENSG00000168685	P16871	"Type I cytokine receptor family, Type 4 subfamily"	21
LEPR	leptin receptor	Yes	No		ENSG00000116678	P48357	"Type I cytokine receptor family, Type 2 subfamily"	21
LIFR	LIF receptor subunit alpha	Yes	Yes		ENSG00000113594	P42702	"Type I cytokine receptor family, Type 2 subfamily"	21
MPL	"MPL proto-oncogene, thrombopoietin receptor"	Yes	No		ENSG00000117400	P40238	"Type I cytokine receptor family, Type 1 subfamily"	21
NGFR	nerve growth factor receptor	Yes	No		ENSG00000064300	P08138	NA	21
NOTCH1	notch receptor 1	Yes	No		ENSG00000148400	P46531	NOTCH family	21
NOTCH4	notch receptor 4	Yes	"No, Yes"		"ENSG00000238196, ENSG00000232339, ENSG00000223355, ENSG00000235396, ENSG00000234876, ENSG00000206312, ENSG00000204301"	Q99466	NOTCH family	21
NTRK1	neurotrophic receptor tyrosine kinase 1	Yes	No		ENSG00000198400	P04629	"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily"	21
PDGFRB	platelet derived growth factor receptor beta	Yes			ENSG00000113721	P09619	"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily"	21
TEK	TEK receptor tyrosine kinase	Yes	No		ENSG00000120156	Q02763	"Protein kinase superfamily, Tyr protein kinase family, Tie subfamily"	21
TGFBR2	transforming growth factor beta receptor 2	Yes	No		ENSG00000163513	P37173	"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"	21
TNFRSF10A	TNF receptor superfamily member 10a	Yes	Yes		ENSG00000104689	O00220	NA	21
XCR1	X-C motif chemokine receptor 1	Yes	No		ENSG00000173578	P46094	G-protein coupled receptor 1 family	21
ACKR3	atypical chemokine receptor 3	Yes	Yes		ENSG00000144476	P25106	"G-protein coupled receptor 1 family, Atypical chemokine receptor subfamily"	20
ACKR4	atypical chemokine receptor 4	Yes	Yes		ENSG00000129048	Q9NPB9	"G-protein coupled receptor 1 family, Atypical chemokine receptor subfamily"	20
ACVR1	activin A receptor type 1	Yes	Yes		ENSG00000115170	Q04771	"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"	20
ACVR1C	activin A receptor type 1C	Yes	Yes		ENSG00000123612	Q8NER5	"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"	20
CD27	CD27 molecule	Yes	Yes	"its ligand is cd70, which has evidence to be soluble in addition to being a cell surface ligand"	ENSG00000139193	P26842	NA	20
CXCR1	C-X-C motif chemokine receptor 1	Yes	TBD		ENSG00000163464	P25024	G-protein coupled receptor 1 family	20
EDNRB	endothelin receptor type B	Yes	Yes		ENSG00000136160	P24530	"G-protein coupled receptor 1 family, Endothelin receptor subfamily, EDNRB sub-subfamily"	20
EPHA4	EPH receptor A4	Yes	Yes		ENSG00000116106	P54764	"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily"	20
EPHB2	EPH receptor B2	Yes	Yes		ENSG00000133216	P29323	"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily"	20
ERBB3	erb-b2 receptor tyrosine kinase 3	Yes	TBD		ENSG00000065361	P21860	"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily"	20
FAS	Fas cell surface death receptor	Yes	Yes		ENSG00000026103	P25445	NA	20
FLT3	fms related receptor tyrosine kinase 3	Yes	No		ENSG00000122025	P36888	"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily"	20
FZD6	frizzled class receptor 6	Yes	No		ENSG00000164930	O60353	G-protein coupled receptor Fz/Smo family	20
FZD7	frizzled class receptor 7	Yes	Yes		ENSG00000155760	O75084	G-protein coupled receptor Fz/Smo family	20
FZD8	frizzled class receptor 8	Yes	Yes		ENSG00000177283	Q9H461	G-protein coupled receptor Fz/Smo family	20
FZD9	frizzled class receptor 9	Yes	TBD		ENSG00000188763	O00144	G-protein coupled receptor Fz/Smo family	20
GHSR	growth hormone secretagogue receptor	Yes	Yes	https://www.cell.com/cell-reports-medicine/fulltext/S2666-3791(22)00089-1#%20	ENSG00000121853	Q92847	G-protein coupled receptor 1 family	20
IFNAR1	interferon alpha and beta receptor subunit 1	Yes	Yes		ENSG00000142166	P17181	Type II cytokine receptor family	20
IL10RA	interleukin 10 receptor subunit alpha	Yes	No		ENSG00000110324	Q13651	Type II cytokine receptor family	20
IL11RA	interleukin 11 receptor subunit alpha	Yes	Yes		ENSG00000137070	Q14626	"Type I cytokine receptor family, Type 3 subfamily"	20
IL17RB	interleukin 17 receptor B	Yes	Yes		ENSG00000056736	Q9NRM6	NA	20
MERTK	"MER proto-oncogene, tyrosine kinase"	Yes	Yes		ENSG00000153208	Q12866	"Protein kinase superfamily, Tyr protein kinase family, AXL/UFO subfamily"	20
NOTCH2	notch receptor 2	Yes			ENSG00000134250	Q04721	NOTCH family	20
NOTCH3	notch receptor 3	Yes	No		ENSG00000074181	Q9UM47	NOTCH family	20
NTRK3	neurotrophic receptor tyrosine kinase 3	Yes	TBD		ENSG00000140538	Q16288	"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily"	20
OSMR	oncostatin M receptor	Yes	No		ENSG00000145623	Q99650	"Type I cytokine receptor family, Type 2 subfamily"	20
TNFRSF11A	TNF receptor superfamily member 11a	Yes	Yes		ENSG00000141655	Q9Y6Q6	NA	20
TNFRSF18	TNF receptor superfamily member 18	Yes	No		ENSG00000186891	Q9Y5U5	NA	20
TNFRSF1A	TNF receptor superfamily member 1A	Yes			ENSG00000067182	P19438	NA	20
TNFRSF1B	TNF receptor superfamily member 1B	Yes	Yes		ENSG00000028137	P20333	NA	20
TNFRSF4	TNF receptor superfamily member 4	Yes	No		ENSG00000186827	P43489	NA	20
TSHR	thyroid stimulating hormone receptor	Yes	TBD	"manually added ensembl_gene_ID, hgnc_symbol, and description by searching the uniprot ID on genenames.org"	ENSG00000165409	P16473	"G-protein coupled receptor 1 family, FSH/LSH/TSH subfamily"	20
MST1R	macrophage stimulating 1 receptor	Yes	No	MST1 receptor	ENSG00000164078	Q04912	"Protein kinase superfamily, Tyr protein kinase family"	20
TYRO3	TYRO3 protein tyrosine kinase	Yes	Yes		ENSG00000092445	Q06418	"Protein kinase superfamily, Tyr protein kinase family, AXL/UFO subfamily"	20
ACVRL1	activin A receptor like type 1	Yes	Yes		ENSG00000139567	P37023	"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"	19
BMPR1B	bone morphogenetic protein receptor type 1B	Yes	Yes		ENSG00000138696	O00238	"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"	19
C3AR1	complement C3a receptor 1	Yes	No		ENSG00000171860	Q16581	G-protein coupled receptor 1 family	19
CCR2	C-C motif chemokine receptor 2	Yes	TBD		ENSG00000121807	P41597	G-protein coupled receptor 1 family	19
CCR5	C-C motif chemokine receptor 5	Yes	No		ENSG00000160791	P51681	G-protein coupled receptor 1 family	19
CCRL2	C-C motif chemokine receptor like 2	Yes	Yes		ENSG00000121797	O00421	G-protein coupled receptor 1 family	19
CNTFR	ciliary neurotrophic factor receptor	Yes	TBD		ENSG00000122756	P26992	"Type I cytokine receptor family, Type 3 subfamily"	19
CRHR2	corticotropin releasing hormone receptor 2	Yes	No		ENSG00000106113	Q13324	G-protein coupled receptor 2 family	19
CSF2RA	colony stimulating factor 2 receptor subunit alpha	Yes	No		ENSG00000198223	P15509	"Type I cytokine receptor family, Type 5 subfamily"	19
EPHA2	EPH receptor A2	Yes	Yes		ENSG00000142627	P29317	"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily"	19
EPHA3	EPH receptor A3	Yes	No		ENSG00000044524	P29320	"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily"	19
EPHA5	EPH receptor A5	Yes	TBD		ENSG00000145242	P54756	"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily"	19
EPHA7	EPH receptor A7	Yes	No		ENSG00000135333	Q15375	"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily"	19
EPHB1	EPH receptor B1	Yes	No		ENSG00000154928	P54762	"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily"	19
FGFR2	fibroblast growth factor receptor 2	Yes	Yes		ENSG00000066468	P21802	"Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily"	19
FGFR3	fibroblast growth factor receptor 3	Yes	No		ENSG00000068078	P22607	"Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily"	19
FZD10	frizzled class receptor 10	Yes	No		ENSG00000111432	Q9ULW2	G-protein coupled receptor Fz/Smo family	19
FZD2	frizzled class receptor 2	Yes	TBD		ENSG00000180340	Q14332	G-protein coupled receptor Fz/Smo family	19
FZD4	frizzled class receptor 4	Yes	Yes		ENSG00000174804	Q9ULV1	G-protein coupled receptor Fz/Smo family	19
GALR2	galanin receptor 2	Yes	Yes		ENSG00000182687	O43603	G-protein coupled receptor 1 family	19
GHRHR	growth hormone releasing hormone receptor	Yes	No		ENSG00000106128	Q02643	G-protein coupled receptor 2 family	19
IFNAR2	interferon alpha and beta receptor subunit 2	Yes	Yes		ENSG00000159110	P48551	Type II cytokine receptor family	19
IFNLR1	interferon lambda receptor 1	Yes	No		ENSG00000185436	Q8IU57	Type II cytokine receptor family	19
IL13RA2	interleukin 13 receptor subunit alpha 2	Yes	Yes		ENSG00000123496	Q14627	"Type I cytokine receptor family, Type 5 subfamily"	19
IL20RA	interleukin 20 receptor subunit alpha	Yes	Yes		ENSG00000016402	Q9UHF4	Type II cytokine receptor family	19
IL23R	interleukin 23 receptor	Yes	No		ENSG00000162594	Q5VWK5	"Type I cytokine receptor family, Type 2 subfamily"	19
IL2RA	interleukin 2 receptor subunit alpha	Yes	TBD		ENSG00000134460	P01589	NA	19
IL5RA	interleukin 5 receptor subunit alpha	Yes	No		ENSG00000091181	Q01344	"Type I cytokine receptor family, Type 5 subfamily"	19
IL9R	interleukin 9 receptor	Yes	No		ENSG00000124334	Q01113	"Type I cytokine receptor family, Type 4 subfamily"	19
LHCGR	luteinizing hormone/choriogonadotropin receptor	Yes	Yes		ENSG00000138039	P22888	"G-protein coupled receptor 1 family, FSH/LSH/TSH subfamily"	19
NTSR1	neurotensin receptor 1	Yes	No		ENSG00000101188	P30989	"G-protein coupled receptor 1 family, Neurotensin receptor subfamily, NTSR1 sub-subfamily"	19
OXTR	oxytocin receptor	Yes	No		ENSG00000180914	P30559	"G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily"	19
PRLR	prolactin receptor	Yes	No		ENSG00000113494	P16471	"Type I cytokine receptor family, Type 1 subfamily"	19
RXFP3	relaxin family peptide receptor 3	Yes	No		"ENSG00000277069, ENSG00000182631"	Q9NSD7	G-protein coupled receptor 1 family	19
SSTR1	somatostatin receptor 1	Yes	Yes		ENSG00000139874	P30872	G-protein coupled receptor 1 family	19
TNFRSF13C	TNF receptor superfamily member 13C	Yes	No		ENSG00000159958	Q96RJ3	NA	19
TNFRSF17	TNF receptor superfamily member 17	Yes	Yes		ENSG00000048462	Q02223	NA	19
TNFRSF8	TNF receptor superfamily member 8	Yes	No		ENSG00000120949	P28908	TNFR8 family	19
TNFRSF9	TNF receptor superfamily member 9	Yes	No		ENSG00000049249	Q07011	NA	19
EDA2R	ectodysplasin A2 receptor	Yes	Yes		ENSG00000131080	Q9HAV5	NA	18
EDAR	ectodysplasin A receptor	Yes	No		ENSG00000135960	Q9UNE0	NA	18
ACKR2	atypical chemokine receptor 2	Yes	No		ENSG00000144648	O00590	"G-protein coupled receptor 1 family, Atypical chemokine receptor subfamily"	18
ADCYAP1R1	ADCYAP receptor type I	Yes	No		ENSG00000078549	P41586	G-protein coupled receptor 2 family	18
AMHR2	anti-Mullerian hormone receptor type 2	Yes	No		ENSG00000135409	Q16671	"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"	18
AVPR2	arginine vasopressin receptor 2	Yes	Yes		ENSG00000126895	P30518	"G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily"	18
BDKRB2	bradykinin receptor B2	Yes	No		ENSG00000168398	P30411	"G-protein coupled receptor 1 family, Bradykinin receptor subfamily, BDKRB2 sub-subfamily"	18
C5AR1	complement C5a receptor 1	Yes	Yes		ENSG00000197405	P21730	G-protein coupled receptor 1 family	18
CALCRL	calcitonin receptor like receptor	Yes	Yes	"manually added ensembl_gene_ID, hgnc_symbol, and description by searching the uniprot ID on genenames.org"	ENSG00000064989	Q16602	G-protein coupled receptor 2 family	18
CCKAR	cholecystokinin A receptor	Yes	No		ENSG00000163394	P32238	G-protein coupled receptor 1 family	18
CCKBR	cholecystokinin B receptor	Yes	No		ENSG00000110148	P32239	G-protein coupled receptor 1 family	18
EPHA1	EPH receptor A1	Yes	"Yes, No"		"ENSG00000284816, ENSG00000146904"	P21709	"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily"	18
EPHA8	EPH receptor A8	Yes	No		ENSG00000070886	P29322	"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily"	18
EPHB3	EPH receptor B3	Yes	No		ENSG00000182580	P54753	"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily"	18
EPHB4	EPH receptor B4	Yes	Yes		ENSG00000196411	P54760	"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily"	18
FGFR1	fibroblast growth factor receptor 1	Yes	No	small molecule receptor	ENSG00000077782	P11362	"Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily"	18
FGFR4	fibroblast growth factor receptor 4	Yes	Yes		ENSG00000160867	P22455	"Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily"	18
FPR2	formyl peptide receptor 2	Yes	Yes		ENSG00000171049	P25090	G-protein coupled receptor 1 family	18
FSHR	follicle stimulating hormone receptor	Yes	Yes	"manually added ensembl_gene_ID, hgnc_symbol, and description by searching the uniprot ID on genenames.org"	ENSG00000170820	P23945	"G-protein coupled receptor 1 family, FSH/LSH/TSH subfamily"	18
GALR1	galanin receptor 1	Yes	TBD		ENSG00000166573	P47211	G-protein coupled receptor 1 family	18
GHR	growth hormone receptor	Yes	No		ENSG00000112964	P10912	"Type I cytokine receptor family, Type 1 subfamily"	18
GIPR	gastric inhibitory polypeptide receptor	Yes	No		ENSG00000010310	P48546	G-protein coupled receptor 2 family	18
GLP2R	glucagon like peptide 2 receptor	Yes	No		ENSG00000065325	O95838	G-protein coupled receptor 2 family	18
GPR37	G protein-coupled receptor 37	Yes	No		ENSG00000170775	O15354	G-protein coupled receptor 1 family	18
GPR37L1	G protein-coupled receptor 37 like 1	Yes	No		ENSG00000170075	O60883	G-protein coupled receptor 1 family	18
HCRTR1	hypocretin receptor 1	Yes	No		ENSG00000121764	O43613	G-protein coupled receptor 1 family	18
HCRTR2	hypocretin receptor 2	Yes	Yes		ENSG00000137252	O43614	G-protein coupled receptor 1 family	18
IFNGR1	interferon gamma receptor 1	Yes	No		ENSG00000027697	P15260	Type II cytokine receptor family	18
IL12RB2	interleukin 12 receptor subunit beta 2	Yes	No		ENSG00000081985	Q99665	"Type I cytokine receptor family, Type 2 subfamily"	18
IL17RA	interleukin 17 receptor A	Yes	Yes		ENSG00000177663	Q96F46	NA	18
IL17RC	interleukin 17 receptor C	Yes	No		ENSG00000163702	Q8NAC3	NA	18
IL18R1	interleukin 18 receptor 1	Yes	No		ENSG00000115604	Q13478	Interleukin-1 receptor family	18
IL1R2	interleukin 1 receptor type 2	Yes	Yes		ENSG00000115590	P27930	Interleukin-1 receptor family	18
IL21R	interleukin 21 receptor	Yes	No		ENSG00000103522	Q9HBE5	"Type I cytokine receptor family, Type 4 subfamily"	18
IL22RA1	interleukin 22 receptor subunit alpha 1	Yes	Yes		ENSG00000142677	Q8N6P7	Type II cytokine receptor family	18
INSR	insulin receptor	Yes	No		ENSG00000171105	P06213	"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily"	18
KISS1R	KISS1 receptor	Yes	No		ENSG00000116014	Q969F8	G-protein coupled receptor 1 family	18
MC4R	melanocortin 4 receptor	Yes	Yes		ENSG00000166603	P32245	G-protein coupled receptor 1 family	18
MC5R	melanocortin 5 receptor	Yes	TBD		ENSG00000176136	P33032	G-protein coupled receptor 1 family	18
MCHR1	melanin concentrating hormone receptor 1	Yes	No	"manually added ensembl_gene_ID, hgnc_symbol, and description by searching the uniprot ID on genenames.org"	ENSG00000128285	Q99705	G-protein coupled receptor 1 family	18
NPR1	natriuretic peptide receptor 1	Yes	No		ENSG00000169418	P16066	Adenylyl cyclase class-4/guanylyl cyclase family	18
NPR2	natriuretic peptide receptor 2	Yes	Yes		ENSG00000159899	P20594	Adenylyl cyclase class-4/guanylyl cyclase family	18
NPR3	natriuretic peptide receptor 3	Yes	No		ENSG00000113389	P17342	ANF receptor family	18
NPY1R	neuropeptide Y receptor Y1	Yes	Yes		ENSG00000164128	P25929	G-protein coupled receptor 1 family	18
NTRK2	neurotrophic receptor tyrosine kinase 2	Yes	TBD		ENSG00000148053	Q16620	"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily"	18
PLXNB2	plexin B2	Yes	Yes		ENSG00000196576	O15031	Plexin family	18
PROKR1	prokineticin receptor 1	Yes	No		ENSG00000169618	Q8TCW9	G-protein coupled receptor 1 family	18
PROKR2	prokineticin receptor 2	Yes	Yes		ENSG00000101292	Q8NFJ6	G-protein coupled receptor 1 family	18
PTH1R	parathyroid hormone 1 receptor	Yes	TBD		ENSG00000160801	Q03431	G-protein coupled receptor 2 family	18
ROR1	receptor tyrosine kinase like orphan receptor 1	Yes	No		ENSG00000185483	Q01973	"Protein kinase superfamily, Tyr protein kinase family, ROR subfamily"	18
ROR2	receptor tyrosine kinase like orphan receptor 2	Yes	No		ENSG00000169071	Q01974	"Protein kinase superfamily, Tyr protein kinase family, ROR subfamily"	18
RXFP2	relaxin family peptide receptor 2	Yes	TBD		ENSG00000133105	Q8WXD0	G-protein coupled receptor 1 family	18
RXFP4	relaxin family peptide/INSL5 receptor 4	Yes	No		ENSG00000173080	Q8TDU9	G-protein coupled receptor 1 family	18
SCTR	secretin receptor	Yes	No		ENSG00000080293	P47872	G-protein coupled receptor 2 family	18
SSTR2	somatostatin receptor 2	Yes	Yes		ENSG00000180616	P30874	G-protein coupled receptor 1 family	18
SSTR3	somatostatin receptor 3	Yes	Yes		ENSG00000278195	P32745	G-protein coupled receptor 1 family	18
SSTR4	somatostatin receptor 4	Yes	Yes		ENSG00000132671	P31391	G-protein coupled receptor 1 family	18
TNFRSF13B	TNF receptor superfamily member 13B	Yes	TBD		ENSG00000240505	O14836	NA	18
VIPR2	vasoactive intestinal peptide receptor 2	Yes	No		ENSG00000106018	P41587	G-protein coupled receptor 2 family	18
LGR4	leucine rich repeat containing G protein-coupled receptor 4	Yes	TBD		ENSG00000205213	Q9BXB1	G-protein coupled receptor 1 family	18
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Yes	No		ENSG00000213088	Q16570	"G-protein coupled receptor 1 family, Atypical chemokine receptor subfamily"	17
ADIPOR1	adiponectin receptor 1	Yes	Yes		ENSG00000159346	Q96A54	ADIPOR family	17
ADIPOR2	adiponectin receptor 2	Yes	"Yes, No"		"ENSG00000285070, ENSG00000006831"	Q86V24	ADIPOR family	17
APLNR	apelin receptor	Yes	Yes		ENSG00000134817	P35414	G-protein coupled receptor 1 family	17
AVPR1A	arginine vasopressin receptor 1A	Yes	No		ENSG00000166148	P37288	"G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily"	17
AVPR1B	arginine vasopressin receptor 1B	Yes	No		ENSG00000198049	P47901	"G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily"	17
BDKRB1	bradykinin receptor B1	Yes	No		ENSG00000100739	P46663	"G-protein coupled receptor 1 family, Bradykinin receptor subfamily, BDKRB1 sub-subfamily"	17
CALCR	calcitonin receptor	Yes	Yes	"manually added ensembl_gene_ID, hgnc_symbol, and description by searching the uniprot ID on genenames.org"	ENSG00000004948	P30988	G-protein coupled receptor 2 family	17
CRHR1	corticotropin releasing hormone receptor 1	Yes	No		"ENSG00000276191, ENSG00000120088"	P34998	G-protein coupled receptor 2 family	17
DDR1	discoidin domain receptor tyrosine kinase 1	Yes	"Yes,"		"ENSG00000223680, ENSG00000229767, ENSG00000234078, ENSG00000215522, ENSG00000230456, ENSG00000137332, ENSG00000204580"	Q08345	"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily"	17
