hgnc_symbol	uniprot_gn_ids	description	consensus_score	Length
F2RL2	O00254	coagulation factor II thrombin receptor like 2	16	374
F2RL3	Q96RI0	F2R like thrombin or trypsin receptor 3	16	385
GCGR	P47871	glucagon receptor	16	477
GFRA1	P56159	GDNF family receptor alpha 1	16	465
GPR151	Q8TDV0	G protein-coupled receptor 151	16	419
IFNGR2	P38484	interferon gamma receptor 2	16	337
IGF2R	P11717	insulin like growth factor 2 receptor	16	2491
IL1RAP	Q9NPH3	interleukin 1 receptor accessory protein	16	570
IL1RAPL1	Q9NZN1	interleukin 1 receptor accessory protein like 1	16	696
IL1RL2	Q9HB29	interleukin 1 receptor like 2	16	575
NPSR1	Q6W5P4	neuropeptide S receptor 1	16	371
NPY5R	Q15761	neuropeptide Y receptor Y5	16	445
OPRD1	P41143	opioid receptor delta 1	16	372
PLXNA1	Q9UIW2	plexin A1	16	1896
PLXNA3	P51805	plexin A3	16	1871
PLXNA4	Q9HCM2	plexin A4	16	1894
PLXNB1	O43157	plexin B1	16	2135
PLXNC1	O60486	plexin C1	16	1568
RYK	P34925	receptor like tyrosine kinase	16	607
SMO	Q99835	smoothened, frizzled class receptor	16	787
TACR2	P21452	tachykinin receptor 2	16	398
TACR3	P29371	tachykinin receptor 3	16	465
TIE1	P35590	tyrosine kinase with immunoglobulin like and EGF like domains 1	16	1138
TNFRSF10D	Q9UBN6	TNF receptor superfamily member 10d	16	386
TNFRSF25	Q93038	TNF receptor superfamily member 25	16	417
MRGPRX2	Q96LB1	MAS related GPR family member X2	16	330
DDR2	Q16832	discoidin domain receptor tyrosine kinase 2	15	855
F2RL1	P55085	F2R like trypsin receptor 1	15	397
GFRA2	O00451	GDNF family receptor alpha 2	15	464
IL22RA2	Q969J5	interleukin 22 receptor subunit alpha 2	15	263
MCHR2	Q969V1	melanin concentrating hormone receptor 2	15	340
MLNR	O43193	motilin receptor	15	412
NPBWR1	P48145	neuropeptides B and W receptor 1	15	328
NPFFR1	Q9GZQ6	neuropeptide FF receptor 1	15	430
NPFFR2	Q9Y5X5	neuropeptide FF receptor 2	15	522
NPY4R	P50391	neuropeptide Y receptor Y4	15	375
ROBO1	Q9Y6N7	roundabout guidance receptor 1	15	1651
ROBO2	Q9HCK4	roundabout guidance receptor 2	15	1378
TGFBR3	Q03167	transforming growth factor beta receptor 3	15	851
TNFRSF10C	O14798	TNF receptor superfamily member 10c	15	259
MRGPRX1	Q96LB2	MAS related GPR family member X1	15	322
TNFRSF21	O75509	TNF receptor superfamily member 21	15	655
NRP1	O14786	neuropilin 1	15	923
NRP2	O60462	neuropilin 2	15	931
PLAUR	Q03405	plasminogen activator, urokinase receptor	15	335
DCC	P43146	DCC netrin 1 receptor	14	1447
FPR3	P25089	formyl peptide receptor 3	14	353
GFRA4	Q9GZZ7	GDNF family receptor alpha 4	14	299
GPR39	O43194	G protein-coupled receptor 39	14	453
MTNR1B	P49286	melatonin receptor 1B	14	362
PLXNA2	O75051	plexin A2	14	1894
PTCH2	Q9Y6C5	patched 2	14	1203
TNFRSF11B	O00300	TNF receptor superfamily member 11b	14	401
UNC5C	O95185	unc-5 netrin receptor C	14	931
BRS3	P32247	bombesin receptor subtype 3	13	399
GFRA3	O60609	GDNF family receptor alpha 3	13	400
GPR182	O15218	G protein-coupled receptor 182	13	404
MTNR1A	P48039	melatonin receptor 1A	13	350
NPBWR2	P48146	neuropeptides B and W receptor 2	13	333
TNFRSF19	Q9NS68	TNF receptor superfamily member 19	13	423
UNC5A	Q6ZN44	unc-5 netrin receptor A	13	842
UNC5D	Q6UXZ4	unc-5 netrin receptor D	13	953
CRLF1	O75462	cytokine receptor like factor 1	12	422
FGFRL1	Q8N441	fibroblast growth factor receptor like 1	12	504
ROBO4	Q8WZ75	roundabout guidance receptor 4	12	1007
UNC5B	Q8IZJ1	unc-5 netrin receptor B	12	945
TFRC	P02786	transferrin receptor	12	760
GPR135	Q8IZ08	G protein-coupled receptor 135	11	494
IGFLR1	Q9H665	IGF like family receptor 1	11	355
OGFR	Q9NZT2	opioid growth factor receptor	11	677
ROBO3	Q96MS0	roundabout guidance receptor 3	10	1386
TNFRSF6B	O95407	TNF receptor superfamily member 6b	10	300
TFR2	Q9UP52	transferrin receptor 2	10	801
TSPAN1	O60635	tetraspanin 1	10	241
BAMBI	Q13145	BMP and activin membrane bound inhibitor	9	260
IL17RE	Q8NFR9	interleukin 17 receptor E	9	667
KLB	Q86Z14	klotho beta	9	1044
GPR162	Q16538	G protein-coupled receptor 162	7	588
