uniprot	genesymbol	consensus_score	generic_categories	all_categories	ligand_uniprot	ligand_symbol	ligand_references
P21675	TAF1	1	receptor	intracellular, receptor	P06400, P16220, Q15545	CREB1, RB1, TAF7	CREB1 [CA1:7615553;CA1:7906413], TAF7 [HPRD:11592977;HPRD:14580349;Lit-BM-17:11592977;Lit-BM-17:7824954], RB1 [DIP:7724524;HPRD:7724524;HPRD:9242374;HPRD:9858607;Lit-BM-17:11126356;Lit-BM-17:7724524;Lit-BM-17:9242374;Lit-BM-17:9858607]
Q9H2C8	OR51V1	4	receptor	cell_surface, plasma_membrane, receptor, transmembrane	NA	NA	NA
P54760	EPHB4	18	adhesion, cell_surface_ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane, transmembrane_predicted	P01588, P52799, P98172, Q15768	EFNB1, EFNB2, EFNB3, EPO	EFNB2 [Baccin2019:12051776;Baccin2019:7534404;Baccin2019:9718367;CellChatDB:15114347;CellPhoneDB:15114347;CellTalkDB:15114347;Cellinker:12051776;Cellinker:15114347;Cellinker:7534404;Cellinker:9718367;HPMR:7534404;HPRD:12051776;HPRD:9718367;LRdb:11114742;SignaLink3:12051776;SignaLink3:18988627;SignaLink3:23331499;SignaLink3:9576626;SignaLink3:9718367;connectomeDB2020:12051776;connectomeDB2020:7534404;connectomeDB2020:9718367], EFNB1 [Baccin2019:9330863;CellChatDB:15114347;CellPhoneDB:15114347;Cellinker:15114347;LRdb:11114742;SIGNOR:9330863;connectomeDB2020:9330863], EFNB3 [Baccin2019:9330863;CellChatDB:15114347;CellPhoneDB:15114347;CellTalkDB:8755474;Cellinker:15114347;LRdb:11114742;Ramilowski2015:8755474;connectomeDB2020:8755474;talklr:8755474], EPO [CellTalkDB:26481148;connectomeDB2020:25586589;connectomeDB2020:26481148]
Q4KMQ2	ANO6	1	receptor, transporter	cell_surface, intracellular, ion_channel, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane, transporter	NA	NA	NA
Q9NYL5	CYP39A1	1	receptor	intracellular, receptor, transmembrane	NA	NA	NA
Q13635	PTCH1	17	adhesion, receptor	adhesion, cell_adhesion, cell_surface, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane	O43323, P06493, P42574, P98164, Q14623, Q15465, Q9H2X6, Q9Y625	CASP3, CDK1, DHH, GPC6, HIPK2, IHH, LRP2, SHH	SHH [Baccin2019:16867986;Baccin2019:9811851;BioGRID:16282375;CellTalkDB:9811851;Cellinker:16867986;Cellinker:21339334;Cellinker:30613383;Cellinker:9811851;HPMR:16867986;HPRD:9811851;ICELLNET:27647915;IntAct:29954986;IntAct:30139912;LRdb:169;LRdb:9811851;NetPath:8906787;NetPath:9811851;SIGNOR:14556242;SIGNOR:15618519;SIGNOR:9811851;SPIKE:20083481;SPIKE:9811851;SignaLink3:14556242;SignaLink3:23331499;connectomeDB2020:16867986;connectomeDB2020:9811851], IHH [Baccin2019:115627869811851;CancerCellMap:9811851;CellTalkDB:11562786;Cellinker:11562786;Cellinker:9811851;HPRD:9811851;ICELLNET:29274272;LRdb:11562786;LRdb:98;NetPath:9811851;SIGNOR:9811851;SignaLink3:19399989;SignaLink3:23331499;connectomeDB2020:11562786;connectomeDB2020:9811851], DHH [Baccin2019:9811851;CancerCellMap:8906787;CancerCellMap:9811851;CellTalkDB:9811851;Cellinker:9811851;HPRD:9811851;LRdb:9811851;NetPath:9811851;SignaLink3:19399989;SignaLink3:23331499;SignaLink3:9811851;connectomeDB2020:9811851], GPC6 [SIGNOR:31756413], CASP3 [SIGNOR:12907805;SIGNOR:23074268], CASP3 [SIGNOR:12907805;SIGNOR:23074268], LRP2 [SIGNOR:26872844], CDK1 [CancerCellMap:11331587;HPRD:11331587], HIPK2 [HPRD:12874272]
P28074	PSMB5	1	receptor	intracellular, receptor	P53350	PLK1	PLK1 [HPRD:11205743]
Q6DKI7	PVRIG	3	receptor	cell_surface, intracellular, plasma_membrane, receptor, transmembrane, transmembrane_predicted	P15151, Q92692	NECTIN2, PVR	PVR [connectomeDB2020:30659055], NECTIN2 [connectomeDB2020:26755705;connectomeDB2020:30659054]
O95754	SEMA4F	2	adhesion, cell_surface_ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane, transmembrane_predicted	O60462	NRP2	NRP2 [HPRD:9856463]
P28702	RXRB	2	receptor	intracellular, receptor	P10276, P10589, P10826, P10827, P10828, P11473, P13631, P24468, P37231, P43354, P48552, P55055, Q03181, Q07869, Q15466	NR0B2, NR1H2, NR2F1, NR2F2, NR4A2, NRIP1, PPARA, PPARD, PPARG, RARA, RARB, RARG, THRA, THRB, VDR	RARA [HPRD:15604093;HPRD:16189514;IntAct:16189514;IntAct:20211142;IntAct:21988832;IntAct:26871637;IntAct:29892012;IntAct:31515488;IntAct:32296183;Lit-BM-17:15604093;Lit-BM-17:21988832;Lit-BM-17:25303530;SignaLink3:10828175;SignaLink3:23331499], RARG [HPRD:15604093;IntAct:32296183;SIGNOR:1310351;SignaLink3:10721822;SignaLink3:15604093;SignaLink3:18988627;SignaLink3:23331499], PPARG [HPRD:15604093;InnateDB:20211142;IntAct:20211142;Lit-BM-17:15604093;Lit-BM-17:22205725;Lit-BM-17:25609649;SignaLink3:15130092;SignaLink3:23331499], THRA [HPRD:1331778;SignaLink3:10845098;SignaLink3:1331778;SignaLink3:23331499], NR0B2 [HPRD:10594021;SignaLink3:10594021;SignaLink3:10845098;SignaLink3:23331499], VDR [HPRD:15604093;Lit-BM-17:15604093;Lit-BM-17:21988832;SignaLink3:11094341;SignaLink3:23331499], THRB [HPRD:15604093;SignaLink3:12585964;SignaLink3:15604093;SignaLink3:23331499], NR2F1 [SignaLink3:10900149;SignaLink3:23331499], NR2F2 [SignaLink3:10900149;SignaLink3:23331499], PPARD [HPRD:15604093;Lit-BM-17:15604093;Lit-BM-17:22205725;SignaLink3:12576510;SignaLink3:15604093;SignaLink3:23331499], RARB [HPRD:1331778;HPRD:15604093;IntAct:25416956;IntAct:26871637;IntAct:32296183;SIGNOR:1310351;SignaLink3:12112017;SignaLink3:1331778;SignaLink3:15604093;SignaLink3:23331499], NR1H2 [BioGRID:10187832;HPRD:10187832;HPRD:15604093;Lit-BM-17:10187832;Lit-BM-17:15604093;SignaLink3:10187832;SignaLink3:14993927;SignaLink3:15604093;SignaLink3:23331499], PPARA [SignaLink3:23331499;SignaLink3:8384714], NR4A2 [HPRD:15604093;HPRD:7705655;HPRD:7758108;SignaLink3:15604093;SignaLink3:23331499;SignaLink3:7705655;SignaLink3:7758108;SignaLink3:9636132], NRIP1 [HPRD:11278635;HPRD:12403842;HPRD:12549917;HPRD:9013766;SignaLink3:12549917;SignaLink3:23331499;SignaLink3:9626662]
Q9UBR2	CTSZ	1	receptor	intracellular, receptor	NA	NA	NA
Q92911	SLC5A5	1	receptor, transporter	cell_surface, extracellular, intracellular, receptor, transmembrane, transporter	NA	NA	NA
Q00604	NDP	1	ligand, receptor	extracellular, intracellular, ligand, receptor, secreted	NA	NA	NA
Q8IWU9	TPH2	1	receptor	intracellular, receptor	P17612	PRKACA	PRKACA [PhosphoSite:15663479;PhosphoSite:17973628;PhosphoSite:18339632;ProtMapper:18339632;SIGNOR:18339632;iPTMnet:18339632]
O96013	PAK4	1	receptor	intracellular, receptor, transmembrane	P60953, Q15139	CDC42, PRKD1	PRKD1 [PhosphoSite:11668177;PhosphoSite:26218748;PhosphoSite:27903866;ProtMapper:23841590;ProtMapper:26068882], CDC42 [ACSN:10461188;ACSN:10559936;ACSN:10613909;ACSN:10934474;ACSN:11248548;ACSN:11340065;ACSN:11413130;ACSN:11950587;ACSN:15003621;ACSN:15020669;ACSN:18719708;HPRD:9822598;IntAct:17353931;IntAct:20936779;IntAct:22653441;IntAct:29734338;Lit-BM-17:11756552;Lit-BM-17:17353931;Lit-BM-17:20936779;Lit-BM-17:22653441;Lit-BM-17:26598620;Lit-BM-17:9822598]
Q6UVW9	CLEC2A	1	adhesion, cell_surface_ligand, ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, extracellular, ligand, plasma_membrane, receptor, transmembrane	D3W0D1	KLRF2	KLRF2 [CellPhoneDB:24223577;Cellinker:24223577;DIP:20194751]
P78527	PRKDC	1	receptor	intracellular, receptor	O00743, O60934, P00519, P00533, P05771, P09629, P12956, P13010, P16104, P31749, P42574, P45983, P48730, P53350, Q00613, Q05655, Q13315, Q13535, Q14191, Q92993, Q9BQA5, Q9HB75	ABL1, AKT1, ATM, ATR, CASP3, CSNK1D, EGFR, H2AX, HINFP, HOXB7, HSF1, KAT5, MAPK8, NBN, PIDD1, PLK1, PPP6C, PRKCB, PRKCD, WRN, XRCC5, XRCC6	ABL1 [HPRD:9312071;SPIKE:15686624;SPIKE:9109492;SPIKE:9295282], CASP3 [BioGRID:8804412;CA1:8798786;ELM:8670824;HPRD:8804412;SPIKE:12867423;SPIKE:8804412], PIDD1 [SPIKE:19203584], XRCC5 [BioGRID:20023628;BioGRID:28154079;BioGRID:9312071;DIP:20023628;HPRD:10207052;HPRD:10446239;HPRD:9312071;InnateDB:24098118;IntAct:20023628;IntAct:20711232;LMPID:15758953;Lit-BM-17:10446239;Lit-BM-17:10750018;Lit-BM-17:12393188;Lit-BM-17:15520013;Lit-BM-17:15758953;Lit-BM-17:16857680;Lit-BM-17:17308091;Lit-BM-17:19303849;Lit-BM-17:20023628;Lit-BM-17:20085707;Lit-BM-17:21679440;Lit-BM-17:22404984;Lit-BM-17:26496610;Lit-BM-17:9312071;SPIKE:18285803], HINFP [SPIKE:17974976], HSF1 [HPRD:9325337;SPIKE:12919958], ATM [ACSN:11877377;ACSN:12607003;ACSN:15459660;ACSN:15964794;ACSN:16163361;ACSN:17303408;ACSN:21376743;ACSN:23847781;HPRD:10464290;KEA:12186630;KEA:15507430;KEA:17570479;PhosphoSite:12231622;PhosphoSite:15507430;PhosphoSite:15677476;PhosphoSite:16908529;PhosphoSite:19103741;PhosphoSite:19244120;PhosphoSite:19549901;PhosphoSite:24714417;PhosphoSite:25818648;PhosphoSite:31983282;PhosphoSite:32868446;PhosphoSite:34249431;ProtMapper:16822724;ProtMapper:17189255;ProtMapper:19535303;ProtMapper:19808981;ProtMapper:22230547;ProtMapper:22355272;ProtMapper:22923485;ProtMapper:24492479;ProtMapper:25224041;ProtMapper:25714019;ProtMapper:26553138;ProtMapper:26578593;ProtMapper:27568553;ProtMapper:27939942;ProtMapper:28107384;ProtMapper:28985363;ProtMapper:29088817;SIGNOR:17189255;SPIKE:17189255;iPTMnet:17189255], PRKCD [HPRD:9774685;SPIKE:19737086], EGFR [Lit-BM-17:23178489;Lit-BM-17:23956138;SPIKE:18237807;SPIKE:18789131], MAPK8 [HPRD:11749722;SPIKE:16319174], KAT5 [SPIKE:16603769;SPIKE:16904321], WRN [HPRD:11889123], H2AX [ACSN:11850621;ACSN:11877377;ACSN:12607003;ACSN:15279786;ACSN:15459660;ACSN:15703371;ACSN:15964794;ACSN:16163361;ACSN:16531125;ACSN:16697054;ACSN:17303408;ACSN:17660363;ACSN:18006705;ACSN:18087292;ACSN:18583988;ACSN:18584027;ACSN:18590585;ACSN:18678890;ACSN:18809224;ACSN:19346677;ACSN:19473888;ACSN:19772495;ACSN:19793801;ACSN:19808869;ACSN:19847258;ACSN:20691907;ACSN:20723763;ACSN:21175350;ACSN:21300785;ACSN:21376743;ACSN:22743550;ACSN:23847781;ACSN:24050180;ACSN:7575488;ACSN:9407949;ACSN:9488723;BioGRID:14627815;BioGRID:20356835], HOXB7 [SIGNOR:17308091], XRCC6 [BioGRID:8422676;DIP:10064605;HPRD:10446239;HPRD:11279128;HPRD:9312071;IntAct:20711232;IntAct:26175416;SIGNOR:19133841], AKT1 [HPRD:15262962], ATR [KEA:12186630;KEA:15507430;PhosphoSite:22592045;ProtMapper:16908529;ProtMapper:22057367;ProtMapper:24500207;ProtMapper:29309644;SIGNOR:16908529;iPTMnet:16908529], PLK1 [PhosphoSite:24844881;PhosphoSite:32674014;ProtMapper:24844881;ProtMapper:25550082;ProtMapper:25925375;iPTMnet:24844881], PPP6C [DEPOD:19198648;ProtMapper:24844881], CSNK1D [KEA:17570479], PRKCB [KEA:17570479], NBN [ACSN:11850621;ACSN:11877377;ACSN:12607003;ACSN:15279786;ACSN:15459660;ACSN:15703371;ACSN:15964794;ACSN:16163361;ACSN:16531125;ACSN:16697054;ACSN:17303408;ACSN:17660363;ACSN:18006705;ACSN:18087292;ACSN:18583988;ACSN:18584027;ACSN:18590585;ACSN:18678890;ACSN:18809224;ACSN:19346677;ACSN:19473888;ACSN:19772495;ACSN:19793801;ACSN:19808869;ACSN:19847258;ACSN:20691907;ACSN:20723763;ACSN:21175350;ACSN:21300785;ACSN:21376743;ACSN:22743550;ACSN:23847781;ACSN:24050180;ACSN:7575488;ACSN:9407949;ACSN:9488723;HPRD:15758953]
Q15303	ERBB4	21	adhesion, cell_surface_ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, extracellular, intracellular, matrix_adhesion, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane, transmembrane_predicted	O14511, O14944, P00519, P00533, P01133, P01135, P04626, P07585, P09237, P21860, P29279, P35070, P42684, P56975, P78352, P78536, Q02297, Q13425, Q6UW88, Q8WWG1, Q96J02, Q96JA1, Q99075, Q9BZG2, Q9H4P4	ABL1, ABL2, ACP4, ADAM17, BTC, CCN2, DCN, DLG4, EGF, EGFR, EPGN, ERBB2, ERBB3, EREG, HBEGF, ITCH, LRIG1, MMP7, NRG1, NRG2, NRG3, NRG4, RNF41, SNTB2, TGFA	EGFR [HPRD:10572067;Lit-BM-17:10572067;Lit-BM-17:23153581;Lit-BM-17:25140053;SPIKE:10572067;SPIKE:12648464;SPIKE:17145710], NRG3 [Baccin2019:9275162;CellTalkDB:9275162;HPMR:9275162;HPRD:9275162;LRdb:9275162;SIGNOR:14967450;SIGNOR:7477375;SIGNOR:9275162;SignaLink3:18988627;SignaLink3:23331499;SignaLink3:9275162;connectomeDB2020:9275162], NRG1 [CellTalkDB:10537356;HPRD:10537356;HPRD:7721889;HPRD:8062828;HPRD:9565587;LRdb:10537356;LRdb:7721889;LRdb:8062828;LRdb:9565587;Lit-BM-17:10970856;Lit-BM-17:9168115;ProtMapper:25052836;SIGNOR:14967450;SignaLink3:23331499;SignaLink3:9275162;connectomeDB2020:10537356;connectomeDB2020:7721889;connectomeDB2020:8062828;connectomeDB2020:9565587], NRG4 [Baccin2019:10348342;CellTalkDB:10348342;HPRD:10348342;LRdb:10348342;SIGNOR:14967450;SIGNOR:7477375;SignaLink3:10348342;SignaLink3:18988627;SignaLink3:23331499;connectomeDB2020:10348342], LRIG1 [SIGNOR:16123311;SignaLink3:16123311;SignaLink3:23331499], NRG2 [Baccin2019:9168114;Baccin2019:9168115;CellTalkDB:9168115;HPRD:9168114;HPRD:9168115;LRdb:9168115;LRdb:917;SIGNOR:14967450;SIGNOR:7477375;SignaLink3:23331499;SignaLink3:9168114;SignaLink3:9168115;connectomeDB2020:9168114;connectomeDB2020:9168115], BTC [Baccin2019:10214951;Baccin2019:11254912;CellTalkDB:10214951;HPRD:11254912;LRdb:10214951;LRdb:11;SIGNOR:10209155;SIGNOR:16829981;SIGNOR:22232668;SignaLink3:10209155;SignaLink3:23331499;connectomeDB2020:10214951;connectomeDB2020:11254912], HBEGF [Baccin2019:1840698;Baccin2019:9135143;CellTalkDB:1840698;HPRD:9135143;ICELLNET:12621152;LRdb:1840698;LRdb:914;SIGNOR:10209155;SIGNOR:9135143;SignaLink3:10209155;SignaLink3:23331499;connectomeDB2020:1840698;connectomeDB2020:9135143], EREG [Baccin2019:9419975;CellTalkDB:9419975;HPRD:9419975;LRdb:9419975;SIGNOR:16829981;SIGNOR:22891299;connectomeDB2020:9419975], SNTB2 [HPRD:10725395;MPPI:10725395], EPGN [SIGNOR:16469638;SIGNOR:16829981], ERBB2 [HPRD:16767099;IntAct:10572067;IntAct:16767099;IntAct:21203579;IntAct:24557338;Lit-BM-17:10572067;Lit-BM-17:10839362;Lit-BM-17:16767099;Lit-BM-17:24557338;SIGNOR:8816440], DCN [CellTalkDB:10942781;Cellinker:10942781;LRdb:10942781;Ramilowski2015:10942781;connectomeDB2020:10942781;talklr:10942781], MMP7 [CellTalkDB:17638887;Cellinker:17638887;LRdb:17638887;Ramilowski2015:17638887;connectomeDB2020:17638887;talklr:17638887], EGF [CellTalkDB:9305636;LRdb:9305636;Ramilowski2015:9305636;connectomeDB2020:9305636;talklr:9305636], TGFA [Baccin2019:10918572;CellTalkDB:10918572;HPRD:10918572;LRdb:10918572;connectomeDB2020:10918572], ADAM17 [Baccin2019:15534001;CellTalkDB:26554003;HPRD:15534001;LRdb:15534001;ProtMapper:10744726;ProtMapper:15746097;ProtMapper:17486069;ProtMapper:9685416], CCN2 [Baccin2019:12297288;Cellinker:12297288;HPRD:12297288;LRdb:12297288], ACP4 [DEPOD:15219672], ITCH [InnateDB:17463226;LMPID:18334649;LMPID:20855944;Lit-BM-17:17463226;Lit-BM-17:18334649], ABL1 [DOMINO:16273093], ABL2 [DOMINO:16273093], DLG4 [BioGRID:12716924;BioGRID:16767099;HPRD:10725395;HPRD:16767099;IntAct:10725395;IntAct:16767099;Lit-BM-17:10725395;Lit-BM-17:10839362;Lit-BM-17:16767099;Lit-BM-17:17018285;MPPI:10725395], ERBB3 [HPRD:7689552], RNF41 [HPRD:11867753]
P26717	KLRC2	13	receptor	cell_surface, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane	P13747, P61769	B2M, HLA-E	HLA-E [CellChatDB:26697006;CellPhoneDB:26697006;HPRD:9103421;HPRD:9486650;LRdb:91;LRdb:9486650;connectomeDB2020:9103421;connectomeDB2020:9486650], B2M [CellTalkDB:32196115]
P33681	CD80	10	adhesion, cell_surface_ligand, ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, extracellular, intracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane, transmembrane_predicted	P10747, P16410, Q6X784, Q9NZQ7	CD274, CD28, CTLA4, ZPBP2	CD28 [BioGRID:1847722;CellPhoneDB:23954143;DIP:1847722;DIP:2164219;DIP:7964482;HPRD:7545666;Lit-BM-17:1847722;Lit-BM-17:2164219;Lit-BM-17:21982860;Lit-BM-17:7545666;Lit-BM-17:7964482;NetPath:2164219;SPIKE:15610849;SPIKE:21487479;connectomeDB2020:17953528], CD274 [Baccin2019:24819296;CellTalkDB:17629517;ICELLNET:26927206;IntAct:18585785;IntAct:20587542;IntAct:21982860;IntAct:23417675;IntAct:31000591;LRdb:17629517;Lit-BM-17:21982860;connectomeDB2020:17629517;connectomeDB2020:18585785;connectomeDB2020:20587542], CTLA4 [BioGRID:11279502;CellPhoneDB:23954143;HPRD:7545666;InnateDB:21422170;IntAct:11279502;IntAct:20587542;IntAct:21982860;Lit-BM-17:11279502;Lit-BM-17:21982860;Lit-BM-17:7545666;NetPath:11279501], ZPBP2 [Cellinker:32822567]
Q8NH92	OR1S1	5	receptor	cell_surface, extracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane	NA	NA	NA
P19474	TRIM21	1	receptor	intracellular, receptor	NA	NA	NA
Q6UX15	LAYN	3	adhesion, receptor	adhesion, cell_adhesion, cell_surface, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane, transmembrane_predicted	P40197	GP5	GP5 [Cellinker:32589946]
P50406	HTR6	14	adhesion, receptor	adhesion, cell_adhesion, cell_surface, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane	O95467, P06213, P17752, P63092, P84996, Q00535, Q5JWF2, Q9Y5W7	CDK5, GNAS, INSR, SNX14, TPH1	GNAS [Baccin2019:11916537;CellTalkDB:11916537;Cellinker:11916537;HPRD:11916537;LRdb:11916537], CDK5 [PhosphoSite:32047117;SIGNOR:32047117], TPH1 [CellTalkDB:32196115;HPMR:10953292], GNAS [Baccin2019:11916537;CellTalkDB:11916537;Cellinker:11916537;HPRD:11916537;LRdb:11916537], GNAS [Baccin2019:11916537;CellTalkDB:11916537;Cellinker:11916537;HPRD:11916537;LRdb:11916537], GNAS [Baccin2019:11916537;CellTalkDB:11916537;Cellinker:11916537;HPRD:11916537;LRdb:11916537], SNX14 [Cellinker:25795301], INSR [KEA:17570479]
P01375	TNF	1	cell_surface_ligand, ligand, receptor	cell_surface, cell_surface_ligand, extracellular, intracellular, ligand, plasma_membrane, receptor, secreted, transmembrane, transmembrane_predicted	P01579, P09603, P19438, P19784, P20333, P48729, P68400, P78536, Q00839, Q15628, Q8N165, Q8N6T7	ADAM17, CSF1, CSNK1A1, CSNK2A1, CSNK2A2, HNRNPU, IFNG, PDIK1L, SIRT6, TNFRSF1A, TNFRSF1B, TRADD	TNFRSF1B [BioGRID:7930591;BioGRID:7966397;CancerCellMap:2158863;CancerCellMap:7664431;DIP:1328224;DIP:14743216;DIP:2172983;HPMR:2158863;HPRD:19084540;HPRD:2158863;HPRD:7664431;InnateDB:11448951;InnateDB:14743216;InnateDB:19287455;IntAct:14743216;IntAct:24070898;Lit-BM-17:1310388;Lit-BM-17:1328224;Lit-BM-17:14743216;Lit-BM-17:15485837;Lit-BM-17:2172983;Lit-BM-17:24070898;Lit-BM-17:7930591;Lit-BM-17:7966397;Lit-BM-17:8182064;Lit-BM-17:8805640;Lit-BM-17:9488135;Lit-BM-17:9568681;Macrophage:7852363;Macrophage:8590321;NetPath:15485837;NetPath:1655744;NetPath:7664431], TNFRSF1A [AlzPathway:18067990;BioGRID:2170559;CancerCellMap:10634209;CancerCellMap:14743216;DIP:14743216;DIP:20080539;DIP:2158863;DIP:2170974;DIP:22801493;DIP:23955153;HPMR:7852363;HPRD:10634209;HPRD:14743216;HPRD:19084540;InnateDB:11448951;InnateDB:12887920;InnateDB:14743216;InnateDB:19287455;InnateDB:2158863;InnateDB:2848815;InnateDB:7852363;IntAct:14743216;IntAct:20103630;IntAct:24070898;IntAct:25241761;IntAct:2848815;Lit-BM-17:12753742;Lit-BM-17:12887920;Lit-BM-17:1310388;Lit-BM-17:14743216;Lit-BM-17:15485837;Lit-BM-17:20103630;Lit-BM-17:2158863;Lit-BM-17:2170559;Lit-BM-17:2170974;Lit-BM-17:22028622;Lit-BM-17:22099304;Lit-BM-17:22675546;Lit-BM-17:23032187;Lit-BM-17:23746843;Lit-BM-17:24070898;Lit-BM-17:24726327;Lit-BM-17:24980434;Lit-BM-17:25241761;Lit-BM-17:25911380;Lit-BM-17:26186194;Lit-BM-17:26670046;Lit-BM-17:27560715;Lit-BM-17:2848815;Lit-BM-17:8182064;Lit-BM-17:8288897;Lit-BM-17:8805640;Lit-BM-17:9488135;Lit-BM-17:9568681;Macrophage:1331108;Macrophage:2158863;NetPath:10634209;NetPath:15485837;NetPath:3034874], SIRT6 [SIGNOR:23552949], ADAM17 [HPRD-phos:10799478;HPRD-phos:12135369;HPRD:10799478;HPRD:12135369;SIGNOR:9034190], HNRNPU [SIGNOR:17174306], TRADD [InnateDB:12887920;InnateDB:19287455;NetPath:15485837], PDIK1L [HPRD-phos:8597870;HPRD:8597870;KEA:8597870;iPTMnet:8597870], CSNK1A1 [KEA:8597870], CSNK2A1 [KEA:8597870], CSNK2A2 [KEA:8597870], CSF1 [HPRD:8336080], IFNG [HPRD:3139842]
Q07065	CKAP4	1	receptor	cell_surface, intracellular, plasma_membrane, receptor, transmembrane, transmembrane_predicted	Q9H461, Q9UIJ5	FZD8, ZDHHC2	FZD8 [connectomeDB2020:28893174], ZDHHC2 [dbPTM:19144824;dbPTM:8314870]
Q9NRL2	BAZ1A	1	receptor	intracellular, receptor	NA	NA	NA
Q9BZJ4	SLC25A39	1	receptor	intracellular, receptor, transmembrane	NA	NA	NA
Q6UXZ4	UNC5D	13	adhesion, receptor	adhesion, cell_adhesion, cell_surface, extracellular, plasma_membrane, plasma_membrane_transmembrane, receptor, transmembrane, transmembrane_predicted	O43155, O75326, O95631, O95866, P14151, P19784, P51654, Q06418, Q6ZMC9, Q9NT99, Q9NZU0, Q9NZU1	CSNK2A2, FLRT1, FLRT2, FLRT3, GPC3, LRRC4B, MPIG6B, NTN1, SELL, SEMA7A, SIGLEC15, TYRO3	NTN1 [CellTalkDB:9126742;LRdb:9126742;Ramilowski2015:9126742;connectomeDB2020:9126742;talklr:9126742], SEMA7A [Cellinker:32589946], SELL [Cellinker:32589946], LRRC4B [Cellinker:32589946], FLRT2 [Cellinker:32589946], FLRT3 [Cellinker:32589946], FLRT1 [Cellinker:32589946], TYRO3 [Cellinker:32822567], GPC3 [Cellinker:32589946], MPIG6B [Cellinker:32822567], SIGLEC15 [Cellinker:32822567], CSNK2A2 [KEA:17570479]
Q15818	NPTX1	0	ligand, receptor	extracellular, intracellular, ligand, receptor, secreted	NA	NA	NA
Q9P003	CNIH4	0	receptor	intracellular, receptor, transmembrane	NA	NA	NA
Q8NGJ3	OR52E1	4	receptor	cell_surface, plasma_membrane, receptor, transmembrane	NA	NA	NA
Q8IVM8	SLC22A9	1	receptor, transporter	cell_surface, plasma_membrane, receptor, transmembrane, transporter	O14745	SLC9A3R1	SLC9A3R1 [HPRD:15553237]
A0A075B6U4	TRAV7	1	receptor	plasma_membrane, receptor	NA	NA	NA
