hgnc_symbol	description	keep_in_list	ensembl_gene_ids	uniprot_gn_ids	consensus_score
TNFSF13	TNF superfamily member 13	Yes	ENSG00000161955	O75888	17
CLCF1	cardiotrophin like cytokine factor 1	Yes	ENSG00000175505	Q9UBD9	17
FLT3LG	fms related receptor tyrosine kinase 3 ligand	Yes	ENSG00000090554	P49771	17
NRG3	neuregulin 3	Yes	ENSG00000185737	P56975	17
GDF9	growth differentiation factor 9	Yes	ENSG00000164404	O60383	17
IL12A	interleukin 12A	Yes	ENSG00000168811	P29459	17
GDF6	growth differentiation factor 6	Yes	ENSG00000156466	Q6KF10	17
CCL3	C-C motif chemokine ligand 3	Yes	"ENSG00000278567, ENSG00000274221, ENSG00000277632"	P10147	17
IL34	interleukin 34	Yes	ENSG00000157368	Q6ZMJ4	17
CCL17	C-C motif chemokine ligand 17	Yes	ENSG00000102970	Q92583	17
PRL	prolactin	Yes	ENSG00000172179	P01236	17
IL17A	interleukin 17A	Yes	ENSG00000112115	Q16552	17
CCL27	C-C motif chemokine ligand 27	Yes	ENSG00000213927	Q9Y4X3	17
CCL26	C-C motif chemokine ligand 26	Yes	ENSG00000006606	Q9Y258	17
BMP15	bone morphogenetic protein 15	Yes	ENSG00000130385	O95972	17
NODAL	nodal growth differentiation factor	Yes	ENSG00000156574	Q96S42	17
PPBP	pro-platelet basic protein	Yes	ENSG00000163736	P02775	17
CCL19	C-C motif chemokine ligand 19	Yes	ENSG00000172724	Q99731	17
IL21	interleukin 21	Yes	ENSG00000138684	Q9HBE4	17
IL17F	interleukin 17F	Yes	ENSG00000112116	Q96PD4	17
CCL16	C-C motif chemokine ligand 16	Yes	"ENSG00000275095, ENSG00000275152"	O15467	17
IFNG	interferon gamma	Yes	ENSG00000111537	P01579	17
GDF7	growth differentiation factor 7	Yes	ENSG00000143869	Q7Z4P5	17
XCL2	X-C motif chemokine ligand 2	Yes	ENSG00000143185	Q9UBD3	17
CCL14	C-C motif chemokine ligand 14	Yes	"ENSG00000277236, ENSG00000276409"	Q16627	17
GDF5	growth differentiation factor 5	Yes	ENSG00000125965	P43026	17
FGF4	fibroblast growth factor 4	Yes	ENSG00000075388	P08620	17
WNT1	Wnt family member 1	Yes	ENSG00000125084	P04628	17
CCL23	C-C motif chemokine ligand 23	Yes	"ENSG00000276114, ENSG00000274736"	P55773	17
FGF3	fibroblast growth factor 3	Yes	ENSG00000186895	P11487	17
AGT	angiotensinogen	Yes	ENSG00000135744	P01019	16
GCG	glucagon	Yes	ENSG00000115263	P01275	16
SST	somatostatin	Yes	ENSG00000157005	P61278	16
NRTN	neurturin	Yes	ENSG00000171119	Q99748	16
VIP	vasoactive intestinal peptide	Yes	ENSG00000146469	P01282	16
GDF11	growth differentiation factor 11	Yes	ENSG00000135414	O95390	16
CRH	corticotropin releasing hormone	Yes	ENSG00000147571	P06850	16
TNFSF12	TNF superfamily member 12	Yes	ENSG00000239697	O43508	16
PDGFD	platelet derived growth factor D	Yes	ENSG00000170962	Q9GZP0	16
FGF23	fibroblast growth factor 23	Yes	ENSG00000118972	Q9GZV9	16
PTHLH	parathyroid hormone like hormone	Yes	ENSG00000087494	P12272	16
GIP	gastric inhibitory polypeptide	Yes	ENSG00000159224	P09681	16
PGF	placental growth factor	Yes	ENSG00000119630	P49763	16
IL16	interleukin 16	Yes	ENSG00000172349	Q14005	16
GDNF	glial cell derived neurotrophic factor	Yes	ENSG00000168621	P39905	16
WNT3	Wnt family member 3	Yes	"ENSG00000277641, ENSG00000277626, ENSG00000108379"	P56703	16
EREG	epiregulin	Yes	ENSG00000124882	O14944	16
IL1RN	interleukin 1 receptor antagonist	Yes	ENSG00000136689	P18510	16
GAS6	growth arrest specific 6	Yes	ENSG00000183087	Q14393	16
NPPC	natriuretic peptide C	Yes	ENSG00000163273	P23582	16
POMC	proopiomelanocortin	Yes	ENSG00000115138	P01189	16
FGF5	fibroblast growth factor 5	Yes	ENSG00000138675	P12034	16
GUCA2A	guanylate cyclase activator 2A	Yes	ENSG00000197273	Q02747	16
ANGPT1	angiopoietin 1	Yes	ENSG00000154188	Q15389	16
IL12B	interleukin 12B	Yes	ENSG00000113302	P29460	16
SHH	sonic hedgehog signaling molecule	Yes	ENSG00000164690	Q15465	16
INHA	inhibin subunit alpha	Yes	ENSG00000123999	P05111	16
IFNB1	interferon beta 1	Yes	ENSG00000171855	P01574	16
WNT2	Wnt family member 2	Yes	ENSG00000105989	P09544	16
VEGFD	vascular endothelial growth factor D	Yes	ENSG00000165197	O43915	16
IL17B	interleukin 17B	Yes	ENSG00000127743	Q9UHF5	16
INSL3	insulin like 3	Yes	ENSG00000248099	P51460	16
INHBC	inhibin subunit beta C	Yes	ENSG00000175189	P55103	16
FASLG	Fas ligand	Yes	ENSG00000117560	P48023	16
WNT11	Wnt family member 11	Yes	ENSG00000085741	O96014	16
CD40LG	CD40 ligand	Yes	ENSG00000102245	P29965	16
OSTN	osteocrin	Yes	ENSG00000188729	P61366	16
GDF2	growth differentiation factor 2	Yes	ENSG00000263761	Q9UK05	16
GH2	growth hormone 2	Yes	ENSG00000136487	P01242	16
NPPA	natriuretic peptide A	Yes	ENSG00000175206	P01160	16
ADIPOQ	"adiponectin, C1Q and collagen domain containing"	Yes	ENSG00000181092	Q15848	16
INSL5	insulin like 5	Yes	ENSG00000172410	Q9Y5Q6	16
ADCYAP1	adenylate cyclase activating polypeptide 1	Yes	ENSG00000141433	P18509	15
NPY	neuropeptide Y	Yes	ENSG00000122585	P01303	15
PPY	pancreatic polypeptide	Yes	ENSG00000108849	P01298	15
GHRL	ghrelin and obestatin prepropeptide	Yes	ENSG00000157017	Q9UBU3	15
NRG1	neuregulin 1	Yes	ENSG00000157168	Q02297	15
BMP8B	bone morphogenetic protein 8b	Yes	ENSG00000116985	P34820	15
ADM	adrenomedullin	Yes	ENSG00000148926	P35318	15
GAST	gastrin	Yes	ENSG00000184502	P01350	15
MDK	midkine	Yes	ENSG00000110492	P21741	15
TNFSF15	TNF superfamily member 15	Yes	ENSG00000181634	O95150	15
GHRH	growth hormone releasing hormone	Yes	ENSG00000118702	P01286	15
PSPN	persephin	Yes	ENSG00000125650	O60542	15
MST1	macrophage stimulating 1	Yes	ENSG00000173531	P26927	15
GAL	galanin and GMAP prepropeptide	Yes	ENSG00000069482	P22466	15
WNT7B	Wnt family member 7B	Yes	ENSG00000188064	P56706	15
CCL18	C-C motif chemokine ligand 18	Yes	"ENSG00000278006, ENSG00000278167, ENSG00000275385"	P55774	15
CALCA	calcitonin related polypeptide alpha	Yes	ENSG00000110680	"P01258, P06881"	15
PYY	peptide YY	Yes	ENSG00000131096	P10082	15
CCL3L1	"C-C motif chemokine ligand 3 like 1, C-C motif chemokine ligand 3 like 3"	Yes	"ENSG00000277796, ENSG00000277768, ENSG00000277336, ENSG00000276085"	P16619	15
UCN2	urocortin 2	Yes	ENSG00000145040	Q96RP3	15
IFNA21	interferon alpha 21	Yes	ENSG00000137080	P01568	15
PTN	pleiotrophin	Yes	ENSG00000105894	P21246	15
IFNA4	interferon alpha 4	Yes	ENSG00000236637	P05014	15
CCL3L3	"C-C motif chemokine ligand 3 like 1, C-C motif chemokine ligand 3 like 3"	Yes	"ENSG00000277796, ENSG00000277768, ENSG00000277336, ENSG00000276085"	P16619	15
CCK	cholecystokinin	Yes	ENSG00000187094	P06307	15
TSHB	thyroid stimulating hormone subunit beta	Yes	ENSG00000134200	P01222	15
IFNA13	interferon alpha 13	Yes	ENSG00000233816	P01562	15
OXT	oxytocin/neurophysin I prepropeptide	Yes	ENSG00000101405	P01178	15
IFNA14	interferon alpha 14	Yes	ENSG00000228083	P01570	15
IFNA16	interferon alpha 16	Yes	ENSG00000147885	P05015	15
FGF20	fibroblast growth factor 20	Yes	ENSG00000078579	Q9NP95	15
IFNA1	interferon alpha 1	Yes	ENSG00000197919	P01562	15
IFNA10	interferon alpha 10	Yes	ENSG00000186803	P01566	15
IFNA17	interferon alpha 17	Yes	ENSG00000234829	P01571	15
ARTN	artemin	Yes	ENSG00000117407	Q5T4W7	15
IFNA7	interferon alpha 7	Yes	ENSG00000214042	P01567	15
IFNA8	interferon alpha 8	Yes	ENSG00000120242	P32881	15
RLN3	relaxin 3	Yes	"ENSG00000288474, ENSG00000171136"	Q8WXF3	15
FGF16	fibroblast growth factor 16	Yes	ENSG00000196468	O43320	15
GNRH1	gonadotropin releasing hormone 1	Yes	ENSG00000147437	P01148	15
MSTN	myostatin	Yes	ENSG00000138379	O14793	15
IFNL3	interferon lambda 3	Yes	ENSG00000197110	Q8IZI9	15
IHH	Indian hedgehog signaling molecule	Yes	ENSG00000163501	Q14623	15
IFNA6	interferon alpha 6	Yes	ENSG00000120235	P05013	15
PF4	platelet factor 4	Yes	ENSG00000163737	P02776	15
IL25	interleukin 25	Yes	ENSG00000166090	Q9H293	15
FGF22	fibroblast growth factor 22	Yes	ENSG00000070388	Q9HCT0	15
IL27	interleukin 27	Yes	ENSG00000197272	Q8NEV9	15
IFNA2	interferon alpha 2	Yes	ENSG00000188379	P01563	15
PROK1	prokineticin 1	Yes	ENSG00000143125	P58294	15
ANGPT4	angiopoietin 4	Yes	ENSG00000101280	Q9Y264	15
AVP	arginine vasopressin	Yes	ENSG00000101200	P01185	15
IFNW1	interferon omega 1	Yes	ENSG00000177047	P05000	15
IFNA5	interferon alpha 5	Yes	ENSG00000147873	P01569	15
IAPP	islet amyloid polypeptide	Yes	ENSG00000121351	P10997	14
UCN3	urocortin 3	Yes	ENSG00000178473	Q969E3	14
CALCB	calcitonin related polypeptide beta	Yes	ENSG00000175868	P10092	14
BMP8A	bone morphogenetic protein 8a	Yes	ENSG00000183682	Q7Z5Y6	14
NMB	neuromedin B	Yes	ENSG00000197696	P08949	14
RLN1	relaxin 1	Yes	ENSG00000107018	P04808	14
ANGPT2	angiopoietin 2	Yes	ENSG00000091879	O15123	14
GRP	gastrin releasing peptide	Yes	ENSG00000134443	P07492	14
FGF13	fibroblast growth factor 13	Yes	ENSG00000129682	Q92913	14
UTS2B	urotensin 2B	Yes	ENSG00000188958	Q765I0	14
NTS	neurotensin	Yes	ENSG00000133636	P30990	14
APLN	apelin	Yes	ENSG00000171388	Q9ULZ1	14
ANGPTL3	angiopoietin like 3	Yes	ENSG00000132855	Q9Y5C1	14
UTS2	urotensin 2	Yes	ENSG00000049247	O95399	14
NPPB	natriuretic peptide B	Yes	ENSG00000120937	P16860	14
IL31	interleukin 31	Yes	ENSG00000204671	Q6EBC2	14
PENK	proenkephalin	Yes	ENSG00000181195	P01210	14
SCT	secretin	Yes	"ENSG00000274473, ENSG00000070031"	P09683	14
PMCH	pro-melanin concentrating hormone	Yes	ENSG00000183395	P20382	14
CGA	"glycoprotein hormones, alpha polypeptide"	Yes	ENSG00000135346	P01215	14
CCN3	cellular communication network factor 3	Yes	ENSG00000136999	P48745	14
QRFP	pyroglutamylated RFamide peptide	Yes	ENSG00000188710	P83859	14
EBI3	Epstein-Barr virus induced 3	Yes	ENSG00000105246	Q14213	14
IFNL2	interferon lambda 2	Yes	ENSG00000183709	Q8IZJ0	14
IFNL1	interferon lambda 1	Yes	ENSG00000182393	Q8IU54	14
GALP	galanin like peptide	Yes	ENSG00000197487	Q9UBC7	14
CORT	cortistatin	Yes	ENSG00000241563	O00230	14
AGRP	agouti related neuropeptide	Yes	ENSG00000159723	O00253	14
FGF21	fibroblast growth factor 21	Yes	ENSG00000105550	Q9NSA1	14
HCRT	hypocretin neuropeptide precursor	Yes	ENSG00000161610	O43612	14
DHH	desert hedgehog signaling molecule	Yes	ENSG00000139549	O43323	14
IL1F10	interleukin 1 family member 10	Yes	ENSG00000136697	Q8WWZ1	14
FSHB	follicle stimulating hormone subunit beta	Yes	ENSG00000131808	P01225	14
TNFSF18	TNF superfamily member 18	Yes	ENSG00000120337	Q9UNG2	14
BMP3	bone morphogenetic protein 3	Yes	ENSG00000152785	P12645	14
SPP1	secreted phosphoprotein 1	Yes	ENSG00000118785	P10451	13
ADM2	adrenomedullin 2	Yes	ENSG00000128165	Q7Z4H4	13
SEMA3A	semaphorin 3A	Yes	ENSG00000075213	Q14563	13
ANGPTL1	angiopoietin like 1	Yes	ENSG00000116194	O95841	13
RARRES2	retinoic acid receptor responder 2	Yes	ENSG00000106538	Q99969	13
SEMA3F	semaphorin 3F	Yes	ENSG00000001617	Q13275	13
TAC1	tachykinin precursor 1	Yes	ENSG00000006128	P20366	13
TNFSF4	TNF superfamily member 4	Yes	ENSG00000117586	P23510	13
SEMA3C	semaphorin 3C	Yes	ENSG00000075223	Q99985	13
SAA1	serum amyloid A1	Yes	ENSG00000173432	P0DJI8	13
UCN	urocortin	Yes	ENSG00000163794	P55089	13
RSPO3	R-spondin 3	Yes	ENSG00000146374	Q9BXY4	13
TRH	thyrotropin releasing hormone	Yes	ENSG00000170893	P20396	13
CD70	CD70 molecule	Yes	ENSG00000125726	P32970	13
TNFSF9	TNF superfamily member 9	Yes	ENSG00000125657	P41273	13
NPVF	neuropeptide VF precursor	Yes	ENSG00000105954	Q9HCQ7	13
PRLH	prolactin releasing hormone	Yes	ENSG00000071677	P81277	13
GNRH2	gonadotropin releasing hormone 2	Yes	ENSG00000125787	O43555	13
RSPO2	R-spondin 2	Yes	ENSG00000147655	Q6UXX9	13
RSPO1	R-spondin 1	Yes	ENSG00000169218	Q2MKA7	13
TNFSF8	TNF superfamily member 8	Yes	ENSG00000106952	P32971	13
RSPO4	R-spondin 4	Yes	ENSG00000101282	Q2I0M5	13
CSH1	chorionic somatomammotropin hormone 1	Yes	ENSG00000136488	P0DML2	13
KNG1	kininogen 1	Yes	ENSG00000113889	P01042	13
PROK2	prokineticin 2	Yes	ENSG00000163421	Q9HC23	13
PDYN	prodynorphin	Yes	ENSG00000101327	P01213	13
NPFF	neuropeptide FF-amide peptide precursor	Yes	ENSG00000139574	O15130	13
RLN2	relaxin 2	Yes	ENSG00000107014	P04090	12
ANXA1	annexin A1	Yes	ENSG00000135046	P04083	12
SEMA3E	semaphorin 3E	Yes	ENSG00000170381	O15041	12
CCN2	cellular communication network factor 2	Yes	ENSG00000118523	P29279	12
INHBE	inhibin subunit beta E	Yes	ENSG00000139269	P58166	12
KISS1	KiSS-1 metastasis suppressor	Yes	ENSG00000170498	Q15726	12
NPS	neuropeptide S	Yes	ENSG00000214285	P0C0P6	12
TAC3	tachykinin precursor 3	Yes	ENSG00000166863	Q9UHF0	12
DKK1	dickkopf WNT signaling pathway inhibitor 1	Yes	ENSG00000107984	O94907	12
PNOC	prepronociceptin	Yes	ENSG00000168081	Q13519	12
GUCA2B	guanylate cyclase activator 2B	Yes	ENSG00000044012	Q16661	12
IL17C	interleukin 17C	Yes	ENSG00000124391	Q9P0M4	12
WNT16	Wnt family member 16	Yes	ENSG00000002745	Q9UBV4	12
MLN	motilin	Yes	ENSG00000096395	P12872	12
PTH	parathyroid hormone	Yes	ENSG00000152266	P01270	12
EPGN	epithelial mitogen	Yes	ENSG00000182585	Q6UW88	12
NMS	neuromedin S	Yes	ENSG00000204640	Q5H8A3	12
GDF10	growth differentiation factor 10	Yes	ENSG00000266524	P55107	12
NMU	neuromedin U	Yes	ENSG00000109255	P48645	12
PTH2	parathyroid hormone 2	Yes	ENSG00000142538	Q96A98	12
LEFTY2	left-right determination factor 2	Yes	ENSG00000143768	O00292	12
LHB	luteinizing hormone subunit beta	Yes	ENSG00000104826	P01229	12
GDF1	growth differentiation factor 1	Yes	ENSG00000130283	P27539	12
IFNK	interferon kappa	Yes	ENSG00000147896	Q9P0W0	11
WNT5B	Wnt family member 5B	Yes	ENSG00000111186	Q9H1J7	11
IL33	interleukin 33	Yes	ENSG00000137033	O95760	11
SEMA3B	semaphorin 3B	Yes	ENSG00000012171	Q13214	11
SEMA3D	semaphorin 3D	Yes	ENSG00000153993	O95025	11
MIA	MIA SH3 domain containing	TBD	ENSG00000261857	Q16674	11
SEMA3G	semaphorin 3G	Yes	ENSG00000010319	Q9NS98	11
NPB	neuropeptide B	Yes	ENSG00000183979	Q8NG41	11
IL26	interleukin 26	Yes	ENSG00000111536	Q9NPH9	11
NDP	norrin cystine knot growth factor NDP	Yes	ENSG00000124479	Q00604	11
TG	thyroglobulin	Yes	ENSG00000042832	P01266	11
IGFL3	IGF like family member 3	Yes	ENSG00000188624	Q6UXB1	11
CSH2	chorionic somatomammotropin hormone 2	Yes	ENSG00000213218	P0DML3	11
CSHL1	chorionic somatomammotropin hormone like 1	Yes	ENSG00000204414	Q14406	11
SLIT1	slit guidance ligand 1	Yes	ENSG00000187122	O75093	10
EFNA1	ephrin A1	Yes	ENSG00000169242	P20827	10
NTN1	netrin 1	Yes	ENSG00000065320	O95631	10
NTN4	netrin 4	Yes	ENSG00000074527	Q9HB63	10
CCN1	cellular communication network factor 1	Yes	ENSG00000142871	O00622	10
WNT2B	Wnt family member 2B	Yes	ENSG00000134245	Q93097	10
EFNA4	ephrin A4	Yes	ENSG00000243364	P52798	10
GPHA2	glycoprotein hormone subunit alpha 2	Yes	ENSG00000149735	Q96T91	10
VWF	von Willebrand factor	TBD	ENSG00000110799	P04275	10
NPW	neuropeptide W	Yes	ENSG00000183971	Q8N729	10
SCGB3A1	secretoglobin family 3A member 1	Yes	ENSG00000161055	Q96QR1	10
IL36G	interleukin 36 gamma	Yes	ENSG00000136688	Q9NZH8	10
DKK2	dickkopf WNT signaling pathway inhibitor 2	Yes	ENSG00000155011	Q9UBU2	10
WNT8A	Wnt family member 8A	Yes	ENSG00000061492	Q9H1J5	10
GDF3	growth differentiation factor 3	Yes	ENSG00000184344	Q9NR23	10
IL37	interleukin 37	Yes	ENSG00000125571	Q9NZH6	10
IL36A	interleukin 36 alpha	Yes	ENSG00000136694	Q9UHA7	10
EDIL3	EGF like repeats and discoidin domains 3	TBD	ENSG00000164176	O43854	9
FGF14	fibroblast growth factor 14	Yes	ENSG00000102466	Q92915	9
FGF12	fibroblast growth factor 12	Yes	ENSG00000114279	P61328	9
GDF15	growth differentiation factor 15	Yes	ENSG00000130513	Q99988	9
ANGPTL2	angiopoietin like 2	Yes	ENSG00000136859	Q9UKU9	9
ZP3	zona pellucida glycoprotein 3	TBD	ENSG00000188372	P21754	9
SCGB3A2	secretoglobin family 3A member 2	Yes	ENSG00000164265	Q96PL1	9
TAC4	tachykinin precursor 4	Yes	ENSG00000176358	Q86UU9	9
IL36B	interleukin 36 beta	Yes	ENSG00000136696	Q9NZH7	9
APELA	apelin receptor early endogenous ligand	Yes	ENSG00000248329	P0DMC3	9
S100A8	S100 calcium binding protein A8	TBD	ENSG00000143546	P05109	9
NXPH3	neurexophilin 3	Yes	ENSG00000182575	O95157	9
SLIT2	slit guidance ligand 2	Yes	ENSG00000145147	O94813	9
SLIT3	slit guidance ligand 3	Yes	ENSG00000184347	O75094	9
C1QTNF1	C1q and TNF related 1	TBD	ENSG00000173918	Q9BXJ1	9
LTB	lymphotoxin beta		"ENSG00000223448, ENSG00000231314, ENSG00000204487, ENSG00000236925, ENSG00000238114, ENSG00000236237, ENSG00000206437, ENSG00000227507"	Q06643	9
