UniProt.accession	Domain..CC.	Sequence.similarities	Protein.families	Coiled.coil	Compositional.bias	Domain..FT.	Motif	Region	Repeat	Zinc.finger
P22607	DOMAIN: The second and third Ig-like domains directly interact with fibroblast growth factors (FGF) and heparan sulfate proteoglycans. {ECO:0000269|PubMed:14732692}.	SIMILARITY: Belongs to the protein kinase superfamily. Tyr protein kinase family. Fibroblast growth factor receptor subfamily. {ECO:0000255|PROSITE-ProRule:PRU00159}.	Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily	NA	COMPBIAS 770..787;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 24..126;  /note=Ig-like C2-type 1; DOMAIN 151..244;  /note=Ig-like C2-type 2; DOMAIN 253..355;  /note=Ig-like C2-type 3; DOMAIN 472..761;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	REGION 126..153;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 765..806;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P35354	NA	SIMILARITY: Belongs to the prostaglandin G/H synthase family. {ECO:0000305}.	Prostaglandin G/H synthase family	NA	NA	DOMAIN 18..55;  /note=EGF-like;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076	NA	NA	NA	NA
P24394	DOMAIN: The extracellular domain represents the IL4 binding protein (IL4BP).; DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.; DOMAIN: Contains 1 copy of a cytoplasmic motif that is referred to as the immunoreceptor tyrosine-based inhibitor motif (ITIM). This motif is involved in modulation of cellular responses. The phosphorylated ITIM motif can bind the SH2 domain of several SH2-containing phosphatases.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 4 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 4 subfamily	NA	COMPBIAS 381..397;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 784..809;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 125..224;  /note=Fibronectin type-III;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 212..216;  /note=WSXWS motif; MOTIF 262..270;  /note=Box 1 motif; MOTIF 711..716;  /note=ITIM motif	REGION 373..397;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 433..485;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 437..557;  /note=Required for IRS1 activation and IL4-induced cell growth; REGION 558..657;  /note=Required for IL4-induced gene expression; REGION 651..703;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 782..809;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q96IY4	NA	SIMILARITY: Belongs to the peptidase M14 family. {ECO:0000305}.	Peptidase M14 family	NA	NA	NA	NA	REGION 181..184;  /note=Substrate binding;  /evidence=ECO:0000250|UniProtKB:P00730; REGION 256..257;  /note=Substrate binding;  /evidence=ECO:0000250|UniProtKB:P00730; REGION 311..312;  /note=Substrate binding;  /evidence=ECO:0000250|UniProtKB:P00730	NA	NA
P22303	NA	SIMILARITY: Belongs to the type-B carboxylesterase/lipase family. {ECO:0000305}.	Type-B carboxylesterase/lipase family	NA	NA	NA	NA	REGION 233..234;  /note=Galanthamine binding;  /evidence=ECO:0007744|PDB:4EY6	NA	NA
P08253	DOMAIN: The conserved cysteine present in the cysteine-switch motif binds the catalytic zinc ion, thus inhibiting the enzyme. The dissociation of the cysteine from the zinc ion upon the activation-peptide release activates the enzyme.	SIMILARITY: Belongs to the peptidase M10A family. {ECO:0000305}.	Peptidase M10A family	NA	NA	DOMAIN 228..276;  /note=Fibronectin type-II 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00479; DOMAIN 286..334;  /note=Fibronectin type-II 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00479; DOMAIN 344..392;  /note=Fibronectin type-II 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00479	MOTIF 100..107;  /note=Cysteine switch;  /evidence=ECO:0000250	REGION 110..221;  /note=Collagenase-like 1; REGION 222..396;  /note=Collagen-binding; REGION 397..465;  /note=Collagenase-like 2; REGION 414..660;  /note=Required for inhibitor TIMP2 binding;  /evidence=ECO:0000269|PubMed:1655733	REPEAT 472..516;  /note=Hemopexin 1; REPEAT 517..563;  /note=Hemopexin 2; REPEAT 565..613;  /note=Hemopexin 3; REPEAT 614..660;  /note=Hemopexin 4	NA
P03951	NA	SIMILARITY: Belongs to the peptidase S1 family. Plasma kallikrein subfamily. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family, Plasma kallikrein subfamily	NA	NA	DOMAIN 20..103;  /note=Apple 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00315; DOMAIN 110..193;  /note=Apple 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00315; DOMAIN 200..283;  /note=Apple 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00315; DOMAIN 291..374;  /note=Apple 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00315; DOMAIN 388..623;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	REGION 547..550;  /note=Heparin-binding	NA	NA
Q14697	NA	SIMILARITY: Belongs to the glycosyl hydrolase 31 family. {ECO:0000305}.	Glycosyl hydrolase 31 family	NA	COMPBIAS 196..234;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 181..238;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q01344	DOMAIN: The WSXWS motif appears to be necessary for proper protein folding and thereby efficient intracellular transport and cell-surface receptor binding.; DOMAIN: The box 1 motif is required for JAK interaction and/or activation.	SIMILARITY: Belongs to the type I cytokine receptor family. Type 5 subfamily. {ECO:0000305}.	Type I cytokine receptor family, Type 5 subfamily	NA	NA	DOMAIN 32..123;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 241..334;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316	MOTIF 322..326;  /note=WSXWS motif; MOTIF 371..379;  /note=Box 1 motif	NA	NA	NA
P23219	NA	SIMILARITY: Belongs to the prostaglandin G/H synthase family. {ECO:0000305}.	Prostaglandin G/H synthase family	NA	NA	DOMAIN 31..69;  /note=EGF-like;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076	NA	NA	NA	NA
P05546	DOMAIN: The N-terminal acidic repeat region mediates, in part, the glycosaminoglycan-accelerated thrombin inhibition.	SIMILARITY: Belongs to the serpin family. {ECO:0000305}.	Serpin family	NA	NA	NA	NA	REGION 68..79;  /note=Chemotactic activity; REGION 73..97;  /note=2 X 11 AA approximate repeats, Asp/Glu-rich (acidic) (hirudin-like); REGION 192..212;  /note=Glycosaminoglycan-binding site	REPEAT 73..83;  /note=1; REPEAT 87..97;  /note=2	NA
P24347	DOMAIN: The conserved cysteine present in the cysteine-switch motif binds the catalytic zinc ion, thus inhibiting the enzyme. The dissociation of the cysteine from the zinc ion upon the activation-peptide release activates the enzyme.	SIMILARITY: Belongs to the peptidase M10A family. {ECO:0000305}.	Peptidase M10A family	NA	NA	NA	MOTIF 78..85;  /note=Cysteine switch;  /evidence=ECO:0000250	REGION 41..93;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 291..339;  /note=Hemopexin 1; REPEAT 340..382;  /note=Hemopexin 2; REPEAT 384..432;  /note=Hemopexin 3; REPEAT 433..480;  /note=Hemopexin 4	NA
P14780	DOMAIN: The conserved cysteine present in the cysteine-switch motif binds the catalytic zinc ion, thus inhibiting the enzyme. The dissociation of the cysteine from the zinc ion upon the activation-peptide release activates the enzyme. {ECO:0000269|PubMed:12077439}.	SIMILARITY: Belongs to the peptidase M10A family. {ECO:0000305}.	Peptidase M10A family	NA	COMPBIAS 431..447;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 448..496;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 225..273;  /note=Fibronectin type-II 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00479; DOMAIN 283..331;  /note=Fibronectin type-II 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00479; DOMAIN 342..390;  /note=Fibronectin type-II 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00479	MOTIF 97..104;  /note=Cysteine switch;  /evidence=ECO:0000303|PubMed:12077439	REGION 431..508;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	REPEAT 518..563;  /note=Hemopexin 1; REPEAT 564..608;  /note=Hemopexin 2; REPEAT 610..657;  /note=Hemopexin 3; REPEAT 658..704;  /note=Hemopexin 4	NA
P00740	DOMAIN: Calcium binds to the gamma-carboxyglutamic acid (Gla) residues in the Gla domain. Calcium can also bind, with stronger affinity, to another site beyond the Gla domain (PubMed:6425296). Under physiological ion concentrations, Ca(2+) is displaced by Mg(2+) from some of the gammaglutamate residues in the N-terminal Gla domain. This leads to a subtle conformation change that may affect the interaction with its binding protein (By similarity). {ECO:0000250|UniProtKB:P00741, ECO:0000269|PubMed:14722079, ECO:0000269|PubMed:1730085, ECO:0000269|PubMed:6425296}.	SIMILARITY: Belongs to the peptidase S1 family. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family	NA	NA	DOMAIN 47..92;  /note=Gla;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00463; DOMAIN 93..129;  /note=EGF-like 1; calcium-binding;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 130..171;  /note=EGF-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 227..459;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	NA	NA	NA
Q9Y275	NA	SIMILARITY: Belongs to the tumor necrosis factor family. {ECO:0000305}.	Tumor necrosis factor family	NA	COMPBIAS 121..138;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 114..138;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P17948	DOMAIN: The second and third Ig-like C2-type (immunoglobulin-like) domains are sufficient for VEGFA binding. {ECO:0000269|PubMed:20501651, ECO:0000269|PubMed:9393862}.	SIMILARITY: Belongs to the protein kinase superfamily. Tyr protein kinase family. CSF-1/PDGF receptor subfamily. {ECO:0000255|PROSITE-ProRule:PRU00159}.	Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily	NA	COMPBIAS 956..974;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 32..123;  /note=Ig-like C2-type 1; DOMAIN 151..214;  /note=Ig-like C2-type 2; DOMAIN 230..327;  /note=Ig-like C2-type 3; DOMAIN 335..421;  /note=Ig-like C2-type 4; DOMAIN 428..553;  /note=Ig-like C2-type 5; DOMAIN 556..654;  /note=Ig-like C2-type 6; DOMAIN 661..747;  /note=Ig-like C2-type 7; DOMAIN 827..1158;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	REGION 940..982;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q15274	NA	SIMILARITY: Belongs to the NadC/ModD family. {ECO:0000305}.	NadC/ModD family	NA	NA	NA	NA	REGION 8..12;  /note=Important for hexamer formation;  /evidence=ECO:0000269|PubMed:26805589; REGION 138..139;  /note=Quinolinate binding;  /evidence=ECO:0000269|PubMed:26805589, ECO:0000305|PubMed:17868694, ECO:0000305|PubMed:24038671, ECO:0007744|PDB:2JBM, ECO:0007744|PDB:4KWW, ECO:0007744|PDB:5AYY, ECO:0007744|PDB:5AYZ; REGION 160..161;  /note=Quinolinate binding;  /evidence=ECO:0000269|PubMed:26805589, ECO:0000305|PubMed:17868694, ECO:0000305|PubMed:24038671, ECO:0007744|PDB:2JBM, ECO:0007744|PDB:4KWW, ECO:0007744|PDB:5AYY, ECO:0007744|PDB:5AYZ; REGION 248..250;  /note=Quinolinate binding;  /evidence=ECO:0000269|PubMed:26805589, ECO:0007744|PDB:5AYZ	NA	NA
P00750	DOMAIN: Both FN1 and one of the kringle domains are required for binding to fibrin.; DOMAIN: Both FN1 and EGF-like domains are important for binding to LRP1.; DOMAIN: The FN1 domain mediates binding to annexin A2.; DOMAIN: The second kringle domain is implicated in binding to cytokeratin-8 and to the endothelial cell surface binding site.	SIMILARITY: Belongs to the peptidase S1 family. {ECO:0000255|PROSITE-ProRule:PRU00274}.	Peptidase S1 family	NA	NA	DOMAIN 39..81;  /note=Fibronectin type-I;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00478; DOMAIN 82..120;  /note=EGF-like;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 127..208;  /note=Kringle 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 215..296;  /note=Kringle 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00121; DOMAIN 311..561;  /note=Peptidase S1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00274	NA	REGION 42..52;  /note=Important for binding to annexin A2	NA	NA
Q07699	NA	SIMILARITY: Belongs to the sodium channel auxiliary subunit SCN1B (TC 8.A.17) family. {ECO:0000305}.	Sodium channel auxiliary subunit SCN1B (TC 8.A.17) family	NA	NA	DOMAIN 22..150;  /note=Ig-like C2-type	NA	NA	NA	NA
P08581	DOMAIN: The kinase domain is involved in SPSB1 binding.; DOMAIN: The beta-propeller Sema domain mediates binding to HGF.	SIMILARITY: Belongs to the protein kinase superfamily. Tyr protein kinase family. {ECO:0000255|PROSITE-ProRule:PRU00159}.	Protein kinase superfamily, Tyr protein kinase family	NA	NA	DOMAIN 27..515;  /note=Sema;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00352; DOMAIN 563..655;  /note=IPT/TIG 1; DOMAIN 657..739;  /note=IPT/TIG 2; DOMAIN 742..836;  /note=IPT/TIG 3; DOMAIN 1078..1345;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	REGION 1212..1390;  /note=Interaction with RANBP9; REGION 1320..1359;  /note=Interaction with MUC20;  /evidence=ECO:0000269|PubMed:15314156	NA	NA
Q02643	NA	SIMILARITY: Belongs to the G-protein coupled receptor 2 family. {ECO:0000305}.	G-protein coupled receptor 2 family	NA	NA	NA	NA	NA	NA	NA
P05121	NA	SIMILARITY: Belongs to the serpin family. {ECO:0000305}.	Serpin family	NA	NA	NA	NA	NA	NA	NA
P01031	NA	NA	NA	NA	NA	DOMAIN 698..732;  /note=Anaphylatoxin-like;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00022; DOMAIN 1532..1676;  /note=NTR;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00295	NA	REGION 692..721;  /note=Involved in C5AR1 binding;  /evidence=ECO:0000269|PubMed:9553099	NA	NA
P13500	NA	SIMILARITY: Belongs to the intercrine beta (chemokine CC) family. {ECO:0000305}.	Intercrine beta (chemokine CC) family	NA	NA	NA	NA	NA	NA	NA
P02452	DOMAIN: The C-terminal propeptide, also known as COLFI domain, have crucial roles in tissue growth and repair by controlling both the intracellular assembly of procollagen molecules and the extracellular assembly of collagen fibrils. It binds a calcium ion which is essential for its function (By similarity). {ECO:0000250}.	SIMILARITY: Belongs to the fibrillar collagen family. {ECO:0000255|PROSITE-ProRule:PRU00793}.	Fibrillar collagen family	NA	COMPBIAS 122..156;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 183..226;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 419..433;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 549..572;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 888..902;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1176..1195;  /note=Pro residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 38..96;  /note=VWFC;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00220; DOMAIN 1229..1464;  /note=Fibrillar collagen NC1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00793	MOTIF 745..747;  /note=Cell attachment site;  /evidence=ECO:0000255; MOTIF 1093..1095;  /note=Cell attachment site;  /evidence=ECO:0000255	REGION 98..1214;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 162..178;  /note=Nonhelical region (N-terminal); REGION 179..1192;  /note=Triple-helical region; REGION 1193..1218;  /note=Nonhelical region (C-terminal)	NA	NA
P04275	DOMAIN: The von Willebrand antigen 2 is required for multimerization of vWF and for its targeting to storage granules.	NA	NA	NA	NA	DOMAIN 34..240;  /note=VWFD 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00580; DOMAIN 295..348;  /note=TIL 1; DOMAIN 387..598;  /note=VWFD 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00580; DOMAIN 652..707;  /note=TIL 2; DOMAIN 776..827;  /note=TIL 3; DOMAIN 866..1074;  /note=VWFD 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00580; DOMAIN 1146..1196;  /note=TIL 4; DOMAIN 1277..1453;  /note=VWFA 1; binding site for platelet glycoprotein Ib;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00219; DOMAIN 1498..1665;  /note=VWFA 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00219; DOMAIN 1691..1871;  /note=VWFA 3; main binding site for collagens type I and III;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00219; DOMAIN 1949..2153;  /note=VWFD 4;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00580; DOMAIN 2255..2328;  /note=VWFC 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00220; DOMAIN 2429..2495;  /note=VWFC 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00220; DOMAIN 2580..2645;  /note=VWFC 3;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00220; DOMAIN 2724..2812;  /note=CTCK;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00039	MOTIF 2507..2509;  /note=Cell attachment site	REGION 764..787;  /note=Amino-terminal; REGION 788..833;  /note=E1; REGION 826..853;  /note=CX; REGION 2216..2261;  /note=E2	NA	NA
Q9NPF7	NA	SIMILARITY: Belongs to the IL-6 superfamily. {ECO:0000305}.	IL-6 superfamily	NA	NA	NA	NA	NA	NA	NA
P01579	NA	SIMILARITY: Belongs to the type II (or gamma) interferon family. {ECO:0000305}.	Type II (or gamma) interferon family	NA	NA	NA	NA	REGION 147..166;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
