hgnc_symbol	description	mean_islet_tpm	Protein.families	Subcellular_location	GO_cellular_component	GO_molecular_function	GO_biological_process	ensembl_gene_id	UniProt.accession
IL6ST	interleukin 6 signal transducer 	106.97732950996212	Type I cytokine receptor family, Type 2 subfamily	[Isoform 1]: Cell membrane {ECO:0000269|PubMed:19915009}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:24629561}.	ciliary neurotrophic factor receptor complex [GO:0070110]; dendrite [GO:0030425]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; interleukin-6 receptor complex [GO:0005896]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; oncostatin-M receptor complex [GO:0005900]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	ciliary neurotrophic factor receptor activity [GO:0004897]; ciliary neurotrophic factor receptor binding [GO:0005127]; cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; growth factor binding [GO:0019838]; identical protein binding [GO:0042802]; interleukin-11 binding [GO:0019970]; interleukin-11 receptor activity [GO:0004921]; interleukin-27 receptor activity [GO:0045509]	ciliary neurotrophic factor-mediated signaling pathway [GO:0070120]; cytokine-mediated signaling pathway [GO:0019221]; glycogen metabolic process [GO:0005977]; interleukin-27-mediated signaling pathway [GO:0070106]; interleukin-35-mediated signaling pathway [GO:0070757]; interleukin-6-mediated signaling pathway [GO:0070102]; intestinal epithelial cell development [GO:0060576]; leukemia inhibitory factor signaling pathway [GO:0048861]; negative regulation of apoptotic process [GO:0043066]; negative regulation of interleukin-6-mediated signaling pathway [GO:0070104]; oncostatin-M-mediated signaling pathway [GO:0038165]; positive regulation of acute inflammatory response [GO:0002675]; positive regulation of adaptive immune response [GO:0002821]; positive regulation of astrocyte differentiation [GO:0048711]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; positive regulation of vascular endothelial growth factor production [GO:0010575]; response to cytokine [GO:0034097]; viral process [GO:0016032]	ENSG00000134352	P40189
ADIPOR1	adiponectin receptor 1 	105.64473386231296	ADIPOR family	Cell membrane {ECO:0000269|PubMed:12802337, ECO:0000269|PubMed:25855295}; Multi-pass membrane protein {ECO:0000269|PubMed:12802337, ECO:0000269|PubMed:25855295}. Note=Localized to the cell membrane and intracellular organelles. {ECO:0000269|PubMed:12802337}.	integral component of membrane [GO:0016021]; intrinsic component of plasma membrane [GO:0031226]; membrane [GO:0016020]; plasma membrane [GO:0005886]	adipokinetic hormone receptor activity [GO:0097003]; adiponectin binding [GO:0055100]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein kinase binding [GO:0019901]; signaling receptor activity [GO:0038023]	adiponectin-activated signaling pathway [GO:0033211]; fatty acid oxidation [GO:0019395]; glucose homeostasis [GO:0042593]; hormone-mediated signaling pathway [GO:0009755]; leptin-mediated signaling pathway [GO:0033210]; negative regulation of cell growth [GO:0030308]; negative regulation of epithelial cell migration [GO:0010633]; negative regulation of epithelial to mesenchymal transition [GO:0010719]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of receptor signaling pathway via JAK-STAT [GO:0046426]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; regulation of fatty acid biosynthetic process [GO:0042304]; regulation of glucose metabolic process [GO:0010906]; regulation of lipid metabolic process [GO:0019216]	ENSG00000159346	Q96A54
TFRC	transferrin receptor 	102.99117061797752	Peptidase M28 family, M28B subfamily	Cell membrane {ECO:0000269|PubMed:17081065}; Single-pass type II membrane protein {ECO:0000269|PubMed:17081065}. Melanosome {ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. {ECO:0000269|PubMed:17081065}.; SUBCELLULAR LOCATION: [Transferrin receptor protein 1, serum form]: Secreted {ECO:0000269|PubMed:17081065}.	basolateral plasma membrane [GO:0016323]; blood microparticle [GO:0072562]; cell surface [GO:0009986]; clathrin-coated endocytic vesicle membrane [GO:0030669]; clathrin-coated pit [GO:0005905]; cytoplasmic vesicle [GO:0031410]; early endosome [GO:0005769]; endosome [GO:0005768]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; HFE-transferrin receptor complex [GO:1990712]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; melanosome [GO:0042470]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]	double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; metalloexopeptidase activity [GO:0008235]; protein-containing complex binding [GO:0044877]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; transferrin receptor activity [GO:0004998]; virus receptor activity [GO:0001618]	cellular iron ion homeostasis [GO:0006879]; cellular response to drug [GO:0035690]; cellular response to leukemia inhibitory factor [GO:1990830]; intracellular signal transduction [GO:0035556]; iron ion transport [GO:0006826]; membrane organization [GO:0061024]; negative regulation of apoptotic process [GO:0043066]; negative regulation of mitochondrial fusion [GO:0010637]; osteoclast differentiation [GO:0030316]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of bone resorption [GO:0045780]; positive regulation of gene expression [GO:0010628]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of isotype switching [GO:0045830]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of T cell proliferation [GO:0042102]; receptor internalization [GO:0031623]; transferrin transport [GO:0033572]; transport across blood-brain barrier [GO:0150104]	ENSG00000072274	P02786
F11R	F11 receptor 	102.48827765841123	Immunoglobulin superfamily	Cell junction, tight junction {ECO:0000269|PubMed:11171323}. Cell membrane {ECO:0000269|PubMed:11171323}; Single-pass type I membrane protein {ECO:0000269|PubMed:11171323}. Note=Localized at tight junctions of both epithelial and endothelial cells. {ECO:0000269|PubMed:11171323}.	bicellular tight junction [GO:0005923]; cell-cell junction [GO:0005911]; cell junction [GO:0030054]; cytoplasmic vesicle [GO:0031410]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; slit diaphragm [GO:0036057]; tight junction [GO:0070160]	cadherin binding [GO:0045296]; integrin binding [GO:0005178]; PDZ domain binding [GO:0030165]; protein homodimerization activity [GO:0042803]; virus receptor activity [GO:0001618]	actomyosin structure organization [GO:0031032]; bicellular tight junction assembly [GO:0070830]; cell-cell adhesion [GO:0098609]; cellular response to mechanical stimulus [GO:0071260]; establishment of endothelial intestinal barrier [GO:0090557]; extracellular matrix organization [GO:0030198]; inflammatory response [GO:0006954]; intestinal absorption [GO:0050892]; leukocyte cell-cell adhesion [GO:0007159]; leukocyte migration [GO:0050900]; maintenance of blood-brain barrier [GO:0035633]; memory T cell extravasation [GO:0035683]; negative regulation of GTPase activity [GO:0034260]; negative regulation of stress fiber assembly [GO:0051497]; positive regulation of blood pressure [GO:0045777]; positive regulation of establishment of endothelial barrier [GO:1903142]; positive regulation of GTPase activity [GO:0043547]; positive regulation of platelet aggregation [GO:1901731]; positive regulation of Rho protein signal transduction [GO:0035025]; protein localization to bicellular tight junction [GO:1902396]; protein localization to plasma membrane [GO:0072659]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of actin cytoskeleton reorganization [GO:2000249]; regulation of bicellular tight junction assembly [GO:2000810]; regulation of cell shape [GO:0008360]; regulation of cytokine production [GO:0001817]; regulation of cytoskeleton organization [GO:0051493]; regulation of membrane permeability [GO:0090559]; response to radiation [GO:0009314]; transforming growth factor beta receptor signaling pathway [GO:0007179]	ENSG00000158769	Q9Y624
NCSTN	nicastrin 	93.40737508878047	Nicastrin family	Membrane {ECO:0000269|PubMed:10993067, ECO:0000269|PubMed:25043039, ECO:0000269|PubMed:25918421, ECO:0000269|PubMed:26280335, ECO:0000269|PubMed:26623517, ECO:0000269|PubMed:26776682}; Single-pass type I membrane protein {ECO:0000269|PubMed:25043039, ECO:0000269|PubMed:25918421, ECO:0000269|PubMed:26280335, ECO:0000269|PubMed:26623517, ECO:0000269|PubMed:30598546, ECO:0000269|PubMed:30630874}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:10993067}; Single-pass type I membrane protein {ECO:0000269|PubMed:25043039, ECO:0000269|PubMed:25918421, ECO:0000269|PubMed:26280335, ECO:0000269|PubMed:26623517, ECO:0000269|PubMed:30598546, ECO:0000269|PubMed:30630874}. Melanosome {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV.	azurophil granule membrane [GO:0035577]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; gamma-secretase complex [GO:0070765]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; integral component of presynaptic membrane [GO:0099056]; lysosomal membrane [GO:0005765]; melanosome [GO:0042470]; membrane [GO:0016020]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; synaptic vesicle [GO:0008021]	ATPase binding [GO:0051117]; endopeptidase activity [GO:0004175]; growth factor receptor binding [GO:0070851]; protein-macromolecule adaptor activity [GO:0030674]	adult behavior [GO:0030534]; amyloid-beta formation [GO:0034205]; amyloid fibril formation [GO:1990000]; amyloid precursor protein biosynthetic process [GO:0042983]; amyloid precursor protein catabolic process [GO:0042987]; amyloid precursor protein metabolic process [GO:0042982]; cellular response to calcium ion [GO:0071277]; central nervous system myelination [GO:0022010]; cerebellum development [GO:0021549]; dopamine receptor signaling pathway [GO:0007212]; ephrin receptor signaling pathway [GO:0048013]; epithelial cell proliferation [GO:0050673]; glutamate receptor signaling pathway [GO:0007215]; learning or memory [GO:0007611]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; myeloid cell homeostasis [GO:0002262]; neuron apoptotic process [GO:0051402]; neutrophil degranulation [GO:0043312]; Notch receptor processing [GO:0007220]; Notch receptor processing, ligand-dependent [GO:0035333]; positive regulation of amyloid precursor protein biosynthetic process [GO:0042986]; positive regulation of apoptotic process [GO:0043065]; positive regulation of catalytic activity [GO:0043085]; positive regulation of endopeptidase activity [GO:0010950]; protein processing [GO:0016485]; proteolysis [GO:0006508]; regulation of long-term synaptic potentiation [GO:1900271]; short-term synaptic potentiation [GO:1990926]; T cell proliferation [GO:0042098]	ENSG00000162736	Q92542
ITGA3	integrin subunit alpha 3 	90.15803508557637	Integrin alpha chain family	Cell membrane {ECO:0000269|PubMed:15611341}; Single-pass type I membrane protein {ECO:0000255}. Cell membrane {ECO:0000269|PubMed:15611341}; Lipid-anchor {ECO:0000269|PubMed:15611341}. Cell projection, invadopodium membrane {ECO:0000269|PubMed:10455171}; Single-pass type I membrane protein {ECO:0000255}. Cell projection, filopodium membrane {ECO:0000269|PubMed:10455171}; Single-pass type I membrane protein {ECO:0000255}. Note=Enriched preferentially at invadopodia, cell membrane protrusions that correspond to sites of cell invasion, in a collagen-dependent manner. {ECO:0000269|PubMed:10455171}.	basolateral plasma membrane [GO:0016323]; cell periphery [GO:0071944]; cell surface [GO:0009986]; excitatory synapse [GO:0060076]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; filopodium membrane [GO:0031527]; focal adhesion [GO:0005925]; growth cone filopodium [GO:1990812]; integrin alpha3-beta1 complex [GO:0034667]; integrin complex [GO:0008305]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; synaptic membrane [GO:0097060]	collagen binding [GO:0005518]; fibronectin binding [GO:0001968]; integrin binding [GO:0005178]; laminin binding [GO:0043236]; metal ion binding [GO:0046872]; protease binding [GO:0002020]; protein domain specific binding [GO:0019904]; protein heterodimerization activity [GO:0046982]	cell-matrix adhesion [GO:0007160]; dendritic spine maintenance [GO:0097062]; exploration behavior [GO:0035640]; extracellular matrix organization [GO:0030198]; heart development [GO:0007507]; integrin-mediated signaling pathway [GO:0007229]; leukocyte migration [GO:0050900]; lung development [GO:0030324]; maternal process involved in female pregnancy [GO:0060135]; memory [GO:0007613]; mesodermal cell differentiation [GO:0048333]; negative regulation of cell projection organization [GO:0031345]; negative regulation of Rho protein signal transduction [GO:0035024]; nephron development [GO:0072006]; neuron migration [GO:0001764]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of gene expression [GO:0010628]; positive regulation of neuron projection development [GO:0010976]; positive regulation of protein localization to plasma membrane [GO:1903078]; regulation of BMP signaling pathway [GO:0030510]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; regulation of Wnt signaling pathway [GO:0030111]; renal filtration [GO:0097205]; response to drug [GO:0042493]; response to gonadotropin [GO:0034698]; skin development [GO:0043588]	ENSG00000005884	P26006
ITGAV	integrin subunit alpha V 	89.63203870519472	Integrin alpha chain family	Cell membrane; Single-pass type I membrane protein. Cell junction, focal adhesion {ECO:0000269|PubMed:17158881}.	alphav-beta3 integrin-HMGB1 complex [GO:0035868]; alphav-beta3 integrin-IGF-1-IGF1R complex [GO:0035867]; alphav-beta3 integrin-PKCalpha complex [GO:0035866]; cell surface [GO:0009986]; cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; filopodium membrane [GO:0031527]; focal adhesion [GO:0005925]; integral component of plasma membrane [GO:0005887]; integrin alphav-beta3 complex [GO:0034683]; integrin alphav-beta5 complex [GO:0034684]; integrin alphav-beta6 complex [GO:0034685]; integrin alphav-beta8 complex [GO:0034686]; integrin complex [GO:0008305]; lamellipodium membrane [GO:0031258]; membrane [GO:0016020]; microvillus membrane [GO:0031528]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]; specific granule membrane [GO:0035579]	coreceptor activity [GO:0015026]; extracellular matrix binding [GO:0050840]; extracellular matrix protein binding [GO:1990430]; fibronectin binding [GO:0001968]; integrin binding [GO:0005178]; metal ion binding [GO:0046872]; opsonin binding [GO:0001846]; protease binding [GO:0002020]; protein kinase C binding [GO:0005080]; transforming growth factor beta binding [GO:0050431]; virus receptor activity [GO:0001618]; voltage-gated calcium channel activity [GO:0005245]	angiogenesis [GO:0001525]; antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; apolipoprotein A-I-mediated signaling pathway [GO:0038027]; apoptotic cell clearance [GO:0043277]; calcium ion transmembrane transport [GO:0070588]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell-matrix adhesion [GO:0007160]; cell-substrate adhesion [GO:0031589]; endodermal cell differentiation [GO:0035987]; entry into host cell by a symbiont-containing vacuole [GO:0085017]; ERK1 and ERK2 cascade [GO:0070371]; extracellular matrix organization [GO:0030198]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; heterotypic cell-cell adhesion [GO:0034113]; integrin-mediated signaling pathway [GO:0007229]; leukocyte migration [GO:0050900]; negative chemotaxis [GO:0050919]; negative regulation of entry of bacterium into host cell [GO:2000536]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of lipid storage [GO:0010888]; negative regulation of lipid transport [GO:0032369]; negative regulation of lipoprotein metabolic process [GO:0050748]; negative regulation of low-density lipoprotein receptor activity [GO:1905598]; negative regulation of macrophage derived foam cell differentiation [GO:0010745]; neutrophil degranulation [GO:0043312]; positive regulation of cell adhesion [GO:0045785]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of osteoblast proliferation [GO:0033690]; regulation of phagocytosis [GO:0050764]; regulation of transforming growth factor beta activation [GO:1901388]; substrate adhesion-dependent cell spreading [GO:0034446]; transforming growth factor beta production [GO:0071604]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; vasculogenesis [GO:0001570]; viral entry into host cell [GO:0046718]	ENSG00000138448	P06756
SLC40A1	solute carrier family 40 member 1 	87.04701675842696	Ferroportin (FP) (TC 2.A.100) family, SLC40A subfamily	Cell membrane {ECO:0000269|PubMed:10882071, ECO:0000269|PubMed:23219802}; Multi-pass membrane protein {ECO:0000269|PubMed:10882071, ECO:0000269|PubMed:23219802}. Note=Localized to the basolateral membrane of polarized epithelial cells.	basolateral plasma membrane [GO:0016323]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	ferrous iron transmembrane transporter activity [GO:0015093]; iron ion transmembrane transporter activity [GO:0005381]; peptide hormone binding [GO:0017046]	cellular iron ion homeostasis [GO:0006879]; iron ion export across plasma membrane [GO:1903988]; iron ion homeostasis [GO:0055072]; iron ion transmembrane transport [GO:0034755]; multicellular organismal iron ion homeostasis [GO:0060586]	ENSG00000138449	Q9NP59
FGFR1	fibroblast growth factor receptor 1 	82.23597090652943	Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily	Cell membrane; Single-pass type I membrane protein. Nucleus. Cytoplasm, cytosol. Cytoplasmic vesicle. Note=After ligand binding, both receptor and ligand are rapidly internalized. Can translocate to the nucleus after internalization, or by translocation from the endoplasmic reticulum or Golgi apparatus to the cytosol, and from there to the nucleus.	cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	ATP binding [GO:0005524]; fibroblast growth factor-activated receptor activity [GO:0005007]; fibroblast growth factor binding [GO:0017134]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; protein tyrosine kinase activity [GO:0004713]; receptor-receptor interaction [GO:0090722]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	cell migration [GO:0016477]; chordate embryonic development [GO:0043009]; epithelial to mesenchymal transition [GO:0001837]; fibroblast growth factor receptor signaling pathway [GO:0008543]; MAPK cascade [GO:0000165]; multicellular organism development [GO:0007275]; neuron migration [GO:0001764]; peptidyl-tyrosine phosphorylation [GO:0018108]; phosphatidylinositol-mediated signaling [GO:0048015]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of endothelial cell chemotaxis to fibroblast growth factor [GO:2000546]; positive regulation of kinase activity [GO:0033674]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of phospholipase activity [GO:0010518]; positive regulation of phospholipase C activity [GO:0010863]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of cell differentiation [GO:0045595]; regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001239]; skeletal system development [GO:0001501]; skeletal system morphogenesis [GO:0048705]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	ENSG00000077782	P11362
ITGB5	integrin subunit beta 5 	80.72852681850283	Integrin beta chain family	Membrane; Single-pass type I membrane protein.	cell surface [GO:0009986]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; integrin alphav-beta5 complex [GO:0034684]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	integrin binding [GO:0005178]; signaling receptor activity [GO:0038023]; virus receptor activity [GO:0001618]	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent [GO:0002479]; cell adhesion mediated by integrin [GO:0033627]; cell-matrix adhesion [GO:0007160]; cell migration [GO:0016477]; endodermal cell differentiation [GO:0035987]; epithelial cell-cell adhesion [GO:0090136]; extracellular matrix organization [GO:0030198]; integrin-mediated signaling pathway [GO:0007229]; muscle contraction [GO:0006936]; stress fiber assembly [GO:0043149]; transforming growth factor beta receptor signaling pathway [GO:0007179]	ENSG00000082781	P18084
TNFRSF12A	TNF receptor superfamily member 12A 	80.0773393073848	NA	Membrane; Single-pass type I membrane protein.	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	NA	angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; positive regulation of apoptotic process [GO:0043065]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; regulation of wound healing [GO:0061041]; tumor necrosis factor-mediated signaling pathway [GO:0033209]	ENSG00000006327	Q9NP84
IFNGR2	interferon gamma receptor 2 	79.23683445313624	Type II cytokine receptor family	Cell membrane {ECO:0000269|PubMed:15356148, ECO:0000269|PubMed:15924140, ECO:0000269|PubMed:27599734}; Single-pass type I membrane protein {ECO:0000255}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:10605012}; Single-pass type I membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:23963039}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:23963039}; Single-pass type I membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMed:10605012}. Note=Has low cell surface expression and high cytoplasmic expression in T cells. The bias towards cytoplasmic expression may be due to ligand-independent receptor internalization and recycling. {ECO:0000269|PubMed:10605012, ECO:0000269|PubMed:15356148}.	cytoplasmic vesicle membrane [GO:0030659]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	cytokine receptor activity [GO:0004896]; interferon-gamma receptor activity [GO:0004906]	cell surface receptor signaling pathway [GO:0007166]; cytokine-mediated signaling pathway [GO:0019221]; interferon-gamma-mediated signaling pathway [GO:0060333]; regulation of interferon-gamma-mediated signaling pathway [GO:0060334]; response to virus [GO:0009615]	ENSG00000262795	P38484
CNTN1	contactin 1 	79.04666586335328	Immunoglobulin superfamily, Contactin family	[Isoform 1]: Cell membrane; Lipid-anchor, GPI-anchor; Extracellular side.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Lipid-anchor, GPI-anchor; Extracellular side.	anchored component of postsynaptic membrane [GO:0099025]; anchored component of presynaptic membrane [GO:0099026]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; membrane raft [GO:0045121]	carbohydrate binding [GO:0030246]	cell adhesion [GO:0007155]; cerebellum development [GO:0021549]; neuron projection development [GO:0031175]; Notch signaling pathway [GO:0007219]; positive regulation of gene expression [GO:0010628]; positive regulation of neuron projection development [GO:0010976]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of sodium ion transport [GO:0010765]	ENSG00000018236	Q12860
DDR1	discoidin domain receptor tyrosine kinase 1 	78.55541241089888	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily	[Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane; Single-pass type I membrane protein.	extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	ATP binding [GO:0005524]; collagen binding [GO:0005518]; metal ion binding [GO:0046872]; protein tyrosine kinase collagen receptor activity [GO:0038062]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	axon development [GO:0061564]; branching involved in mammary gland duct morphogenesis [GO:0060444]; cell adhesion [GO:0007155]; collagen-activated tyrosine kinase receptor signaling pathway [GO:0038063]; ear development [GO:0043583]; embryo implantation [GO:0007566]; extracellular matrix organization [GO:0030198]; lactation [GO:0007595]; mammary gland alveolus development [GO:0060749]; multicellular organism development [GO:0007275]; negative regulation of cell population proliferation [GO:0008285]; neuron projection extension [GO:1990138]; peptidyl-tyrosine autophosphorylation [GO:0038083]; positive regulation of kinase activity [GO:0033674]; protein autophosphorylation [GO:0046777]; regulation of cell growth [GO:0001558]; regulation of cell-matrix adhesion [GO:0001952]; regulation of extracellular matrix disassembly [GO:0010715]; smooth muscle cell-matrix adhesion [GO:0061302]; smooth muscle cell migration [GO:0014909]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; wound healing, spreading of cells [GO:0044319]	ENSG00000229767	Q08345
CLDN2	claudin 2 	77.37980760949735	Claudin family	Cell junction, tight junction {ECO:0000250}. Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.	bicellular tight junction [GO:0005923]; cell-cell junction [GO:0005911]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	identical protein binding [GO:0042802]; structural molecule activity [GO:0005198]	bicellular tight junction assembly [GO:0070830]; calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules [GO:0016338]; cell adhesion [GO:0007155]	ENSG00000165376	P57739
F3	coagulation factor III, tissue factor 	75.44087231842697	Tissue factor family	[Isoform 1]: Membrane {ECO:0000269|PubMed:12652293}; Single-pass type I membrane protein {ECO:0000269|PubMed:12652293}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:12652293}.	cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; intrinsic component of external side of plasma membrane [GO:0031233]; plasma membrane [GO:0005886]; serine-type peptidase complex [GO:1905286]	cytokine receptor activity [GO:0004896]; phospholipid binding [GO:0005543]; protease binding [GO:0002020]	activation of blood coagulation via clotting cascade [GO:0002543]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; activation of plasma proteins involved in acute inflammatory response [GO:0002541]; blood coagulation [GO:0007596]; blood coagulation, extrinsic pathway [GO:0007598]; cytokine-mediated signaling pathway [GO:0019221]; negative regulation of blood coagulation, extrinsic pathway [GO:2000264]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell migration [GO:0030335]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of platelet-derived growth factor receptor signaling pathway [GO:0010641]; positive regulation of positive chemotaxis [GO:0050927]; positive regulation of protein kinase B signaling [GO:0051897]; protein processing [GO:0016485]	ENSG00000117525	P13726
