hgnc_symbol	description	keep_in_list?	comments	mean_islet_tpm	Protein.families	Annotated.category (Sci Signaling 2019)	Subcellular_location (UniProt)	GO_cellular_component	GO_molecular_function	GO_biological_process	ensembl_gene_id	UniProt.accession	genecards_url	known_receptor	Genetic Associations (https://t2d.hugeamp.org/)
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	No		2.471350	NA	Secreted to blood	NA	NA	NA	NA	ENSG00000175164	NA	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABO&keywords=ABO		
ACACB	acetyl-CoA carboxylase beta	No		9.862276	NA	Intracellular or membrane-bound	Mitochondrion {ECO:0000269|PubMed:10677481}.	cytosol [GO:0005829]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin binding [GO:0009374]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	acetyl-CoA metabolic process [GO:0006084]; carnitine shuttle [GO:0006853]; energy homeostasis [GO:0097009]; fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]; negative regulation of catalytic activity [GO:0043086]; negative regulation of fatty acid beta-oxidation [GO:0031999]; negative regulation of gene expression [GO:0010629]; positive regulation of cellular metabolic process [GO:0031325]; positive regulation of heart growth [GO:0060421]; positive regulation of lipid storage [GO:0010884]; protein homotetramerization [GO:0051289]; regulation of glucose metabolic process [GO:0010906]; regulation of lipid metabolic process [GO:0019216]; response to drug [GO:0042493]; response to nutrient levels [GO:0031667]; response to organic cyclic compound [GO:0014070]	ENSG00000076555	O00763	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACACB&keywords=ACACB		
ACAN	aggrecan	No		0.063017	NA	Locally secreted to extracellular matrix	NA	NA	NA	NA	ENSG00000157766	NA	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAN&keywords=ACAN		
ACE	angiotensin I converting enzyme	No	modulator	9.422505	Peptidase M2 family	Secreted to blood	[Angiotensin-converting enzyme, soluble form]: Secreted.; SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Cytoplasm {ECO:0000250}. Note=Detected in both cell membrane and cytoplasm in neurons. {ECO:0000250}.	endosome [GO:0005768]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; lysosome [GO:0005764]; plasma membrane [GO:0005886]	actin binding [GO:0003779]; bradykinin receptor binding [GO:0031711]; carboxypeptidase activity [GO:0004180]; chloride ion binding [GO:0031404]; endopeptidase activity [GO:0004175]; exopeptidase activity [GO:0008238]; metallodipeptidase activity [GO:0070573]; metallopeptidase activity [GO:0008237]; mitogen-activated protein kinase binding [GO:0051019]; mitogen-activated protein kinase kinase binding [GO:0031434]; peptidyl-dipeptidase activity [GO:0008241]; tripeptidyl-peptidase activity [GO:0008240]; zinc ion binding [GO:0008270]	amyloid-beta metabolic process [GO:0050435]; angiotensin maturation [GO:0002003]; antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; arachidonic acid secretion [GO:0050482]; blood vessel diameter maintenance [GO:0097746]; blood vessel remodeling [GO:0001974]; cell proliferation in bone marrow [GO:0071838]; heart contraction [GO:0060047]; hematopoietic stem cell differentiation [GO:0060218]; hormone catabolic process [GO:0042447]; kidney development [GO:0001822]; mononuclear cell proliferation [GO:0032943]; negative regulation of gap junction assembly [GO:1903597]; negative regulation of gene expression [GO:0010629]; negative regulation of protein binding [GO:0032091]; neutrophil mediated immunity [GO:0002446]; peptide catabolic process [GO:0043171]; positive regulation of peptidyl-cysteine S-nitrosylation [GO:2000170]; positive regulation of peptidyl-tyrosine autophosphorylation [GO:1900086]; positive regulation of protein binding [GO:0032092]; positive regulation of protein tyrosine kinase activity [GO:0061098]; positive regulation of systemic arterial blood pressure [GO:0003084]; posttranscriptional regulation of gene expression [GO:0010608]; proteolysis [GO:0006508]; regulation of angiotensin metabolic process [GO:0060177]; regulation of blood pressure [GO:0008217]; regulation of hematopoietic stem cell proliferation [GO:1902033]; regulation of renal output by angiotensin [GO:0002019]; regulation of smooth muscle cell migration [GO:0014910]; regulation of systemic arterial blood pressure by renin-angiotensin [GO:0003081]; regulation of vasoconstriction [GO:0019229]; spermatogenesis [GO:0007283]	ENSG00000159640	P12821	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE&keywords=ACE		
ACE2	angiotensin I converting enzyme 2	No		2.805862	Peptidase M2 family	Secreted to blood	[Processed angiotensin-converting enzyme 2]: Secreted {ECO:0000269|PubMed:15983030, ECO:0000269|PubMed:33713620}.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18424768}; Single-pass type I membrane protein {ECO:0000255}. Cytoplasm {ECO:0000250|UniProtKB:Q8R0I0}. Cell projection, cilium {ECO:0000269|PubMed:33432184}. Apical cell membrane {ECO:0000269|PubMed:33432184}. Note=Detected in both cell membrane and cytoplasm in neurons. {ECO:0000250|UniProtKB:Q8R0I0}.; SUBCELLULAR LOCATION: [Isoform 2]: Apical cell membrane {ECO:0000269|PubMed:33432184}.	apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; cell surface [GO:0009986]; cilium [GO:0005929]; endocytic vesicle membrane [GO:0030666]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]	carboxypeptidase activity [GO:0004180]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; metallocarboxypeptidase activity [GO:0004181]; metallopeptidase activity [GO:0008237]; peptidyl-dipeptidase activity [GO:0008241]; virus receptor activity [GO:0001618]; zinc ion binding [GO:0008270]	angiotensin maturation [GO:0002003]; angiotensin-mediated drinking behavior [GO:0003051]; blood vessel diameter maintenance [GO:0097746]; negative regulation of signaling receptor activity [GO:2000272]; positive regulation of amino acid transport [GO:0051957]; positive regulation of cardiac muscle contraction [GO:0060452]; positive regulation of gap junction assembly [GO:1903598]; positive regulation of L-proline import across plasma membrane [GO:1905737]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; proteolysis [GO:0006508]; receptor-mediated virion attachment to host cell [GO:0046813]; regulation of cardiac conduction [GO:1903779]; regulation of cell population proliferation [GO:0042127]; regulation of cytokine production [GO:0001817]; regulation of inflammatory response [GO:0050727]; regulation of systemic arterial blood pressure by renin-angiotensin [GO:0003081]; regulation of transmembrane transporter activity [GO:0022898]; regulation of vasoconstriction [GO:0019229]; tryptophan transport [GO:0015827]; viral entry into host cell [GO:0046718]	ENSG00000130234	Q9BYF1	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE2&keywords=ACE2		
ACHE	acetylcholinesterase (Cartwright blood group)	No		1.713823	Type-B carboxylesterase/lipase family	Intracellular or membrane-bound	Cell junction, synapse {ECO:0000269|PubMed:11985878, ECO:0000269|PubMed:1748670}. Secreted {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform T]: Nucleus. Note=Only observed in apoptotic nuclei.; SUBCELLULAR LOCATION: [Isoform H]: Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}; Extracellular side {ECO:0000250}.	anchored component of membrane [GO:0031225]; basement membrane [GO:0005604]; cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; neuromuscular junction [GO:0031594]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; synapse [GO:0045202]; synaptic cleft [GO:0043083]	acetylcholine binding [GO:0042166]; acetylcholinesterase activity [GO:0003990]; amyloid-beta binding [GO:0001540]; carboxylic ester hydrolase activity [GO:0052689]; cholinesterase activity [GO:0004104]; collagen binding [GO:0005518]; hydrolase activity [GO:0016787]; laminin binding [GO:0043236]; protein homodimerization activity [GO:0042803]; protein self-association [GO:0043621]; serine hydrolase activity [GO:0017171]	acetylcholine catabolic process [GO:0006581]; acetylcholine catabolic process in synaptic cleft [GO:0001507]; acetylcholine receptor signaling pathway [GO:0095500]; amyloid precursor protein metabolic process [GO:0042982]; cell adhesion [GO:0007155]; negative regulation of synaptic transmission, cholinergic [GO:0032223]; nervous system development [GO:0007399]; neurotransmitter biosynthetic process [GO:0042136]; osteoblast development [GO:0002076]; phosphatidylcholine biosynthetic process [GO:0006656]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of protein secretion [GO:0050714]; receptor internalization [GO:0031623]; regulation of receptor recycling [GO:0001919]; retina development in camera-type eye [GO:0060041]; synapse assembly [GO:0007416]	ENSG00000087085	P22303	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACHE&keywords=ACHE		
ACP2	acid phosphatase 2, lysosomal	No		22.899939	Histidine acid phosphatase family	Intracellular or membrane-bound	Lysosome membrane {ECO:0000269|PubMed:2684640, ECO:0000269|PubMed:3056714}; Single-pass membrane protein {ECO:0000255}; Lumenal side {ECO:0000305|PubMed:2684640, ECO:0000305|PubMed:3056714}. Lysosome lumen. Note=The soluble form arises by proteolytic processing of the membrane-bound form. {ECO:0000269|PubMed:2684640, ECO:0000269|PubMed:3056714}.	extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; lysosomal lumen [GO:0043202]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]	acid phosphatase activity [GO:0003993]; phosphatase activity [GO:0016791]	dephosphorylation [GO:0016311]; lysosome organization [GO:0007040]	ENSG00000134575	P11117	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP2&keywords=ACP2		
ACP3	acid phosphatase 3	No		8.964226	Histidine acid phosphatase family	Secreted to blood	[Isoform 1]: Secreted {ECO:0000305|PubMed:17638863}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000269|PubMed:17638863, ECO:0000269|PubMed:17897319, ECO:0000269|PubMed:20498373}; Single-pass type I membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:17638863, ECO:0000269|PubMed:17897319}; Single-pass type I membrane protein {ECO:0000255}. Nucleus {ECO:0000269|PubMed:20498373}. Cytoplasm, cytosol {ECO:0000269|PubMed:20498373}. Note=Appears to shuttle between the cell membrane and intracellular vesicles. Colocalizes with FLOT1 at cell membrane and in intracellular vesicles (PubMed:17638863). Colocalizes with LAMP2 on the lysosome membrane (PubMed:17897319). {ECO:0000269|PubMed:17638863, ECO:0000269|PubMed:17897319}.	azurophil granule membrane [GO:0035577]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; filopodium [GO:0030175]; integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; vesicle membrane [GO:0012506]	5'-nucleotidase activity [GO:0008253]; acid phosphatase activity [GO:0003993]; identical protein binding [GO:0042802]; lysophosphatidic acid phosphatase activity [GO:0052642]; phosphatase activity [GO:0016791]; protein homodimerization activity [GO:0042803]; protein tyrosine phosphatase activity [GO:0004725]; thiamine phosphate phosphatase activity [GO:0042131]	adenosine metabolic process [GO:0046085]; dephosphorylation [GO:0016311]; lysosome organization [GO:0007040]; neutrophil degranulation [GO:0043312]; nucleotide metabolic process [GO:0009117]; positive regulation of adenosine receptor signaling pathway [GO:0060168]; purine nucleobase metabolic process [GO:0006144]; regulation of sensory perception of pain [GO:0051930]; thiamine metabolic process [GO:0006772]	ENSG00000014257	P15309	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP3&keywords=ACP3		
ACP5	acid phosphatase 5, tartrate resistant	No		14.786451	Metallophosphoesterase superfamily, Purple acid phosphatase family	Intracellular or membrane-bound	Lysosome.	cytosol [GO:0005829]; integral component of membrane [GO:0016021]; lysosome [GO:0005764]	acid phosphatase activity [GO:0003993]; ferric iron binding [GO:0008199]; ferrous iron binding [GO:0008198]	bone resorption [GO:0045453]; ossification [GO:0001503]; riboflavin metabolic process [GO:0006771]	ENSG00000102575	P13686	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP5&keywords=ACP5		
ACP6	acid phosphatase 6, lysophosphatidic	No		19.556905	Histidine acid phosphatase family	Intracellular or membrane-bound	Mitochondrion {ECO:0000269|PubMed:10506173}.	cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	acid phosphatase activity [GO:0003993]; lysophosphatidic acid phosphatase activity [GO:0052642]; phosphatase activity [GO:0016791]	dephosphorylation [GO:0016311]; hematopoietic progenitor cell differentiation [GO:0002244]; lysobisphosphatidic acid metabolic process [GO:2001311]; phosphatidic acid biosynthetic process [GO:0006654]; phospholipid metabolic process [GO:0006644]	ENSG00000162836	Q9NPH0	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP6&keywords=ACP6		
ACP7	acid phosphatase 7, tartrate resistant (putative)	No		0.318749	Metallophosphoesterase superfamily, Purple acid phosphatase family	Secreted - unknown location	Secreted {ECO:0000305}.	extracellular region [GO:0005576]	acid phosphatase activity [GO:0003993]; metal ion binding [GO:0046872]	NA	ENSG00000183760	Q6ZNF0	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP7&keywords=ACP7		
ACR	acrosin	No		0.069074	Peptidase S1 family	Locally secreted in male tissues	NA	acrosomal matrix [GO:0043159]; extracellular region [GO:0005576]; Golgi-associated vesicle [GO:0005798]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]	amidase activity [GO:0004040]; copper ion binding [GO:0005507]; DNA binding [GO:0003677]; fucose binding [GO:0042806]; mannose binding [GO:0005537]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]; zinc ion binding [GO:0008270]	acrosome matrix dispersal [GO:0002077]; acrosome reaction [GO:0007340]; activation of adenylate cyclase activity [GO:0007190]; binding of sperm to zona pellucida [GO:0007339]; penetration of zona pellucida [GO:0007341]; response to steroid hormone [GO:0048545]; single fertilization [GO:0007338]	ENSG00000100312	P10323	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACR&keywords=ACR		
ACRBP	acrosin binding protein	No		4.263395	NA	Intracellular or membrane-bound	Secreted {ECO:0000250|UniProtKB:Q29016}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000250|UniProtKB:Q29016, ECO:0000250|UniProtKB:Q3V140}.	acrosomal membrane [GO:0002080]; acrosomal vesicle [GO:0001669]; extracellular region [GO:0005576]; nucleus [GO:0005634]	NA	acrosome assembly [GO:0001675]; fertilization [GO:0009566]; spermatid development [GO:0007286]	ENSG00000111644	Q8NEB7	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACRBP&keywords=ACRBP		
ACRV1	acrosomal vesicle protein 1	No		0.080824	NA	Intracellular or membrane-bound	Cytoplasmic vesicle, secretory vesicle, acrosome. Note=Nascent acrosomal vesicle of Golgi phase spermatids.	acrosomal vesicle [GO:0001669]	NA	multicellular organism development [GO:0007275]	ENSG00000134940	P26436	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACRV1&keywords=ACRV1		
ACVR1C	activin A receptor type 1C	No		6.853568	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	Intracellular or membrane-bound	Membrane {ECO:0000269|PubMed:12606401}; Single-pass type I membrane protein {ECO:0000269|PubMed:12606401}.	activin receptor complex [GO:0048179]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	activin receptor activity, type I [GO:0016361]; ATP binding [GO:0005524]; growth factor binding [GO:0019838]; metal ion binding [GO:0046872]; nodal binding [GO:0038100]; protein serine/threonine kinase activity [GO:0004674]	activin receptor signaling pathway [GO:0032924]; apoptotic nuclear changes [GO:0030262]; cell differentiation [GO:0030154]; cellular response to growth factor stimulus [GO:0071363]; lipid storage [GO:0019915]; negative regulation of chorionic trophoblast cell proliferation [GO:1901383]; negative regulation of insulin secretion [GO:0046676]; negative regulation of trophoblast cell migration [GO:1901164]; nervous system development [GO:0007399]; nodal signaling pathway [GO:0038092]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; protein phosphorylation [GO:0006468]; response to dietary excess [GO:0002021]; response to glucose [GO:0009749]; response to insulin [GO:0032868]; trophectodermal cell proliferation [GO:0001834]	ENSG00000123612	Q8NER5	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVR1C&keywords=ACVR1C		
ACVRL1	activin A receptor like type 1	No		6.016341	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	Intracellular or membrane-bound	Cell membrane {ECO:0000269|PubMed:26176610}; Single-pass type I membrane protein {ECO:0000255}.	BMP receptor complex [GO:0070724]; cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	activin binding [GO:0048185]; activin receptor activity, type I [GO:0016361]; ATP binding [GO:0005524]; BMP receptor activity [GO:0098821]; metal ion binding [GO:0046872]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; SMAD binding [GO:0046332]; transforming growth factor beta-activated receptor activity [GO:0005024]; transforming growth factor beta binding [GO:0050431]; transforming growth factor beta receptor activity, type I [GO:0005025]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]	angiogenesis [GO:0001525]; artery development [GO:0060840]; blood circulation [GO:0008015]; blood vessel endothelial cell proliferation involved in sprouting angiogenesis [GO:0002043]; blood vessel maturation [GO:0001955]; blood vessel remodeling [GO:0001974]; BMP signaling pathway [GO:0030509]; cellular response to BMP stimulus [GO:0071773]; cellular response to growth factor stimulus [GO:0071363]; cellular response to transforming growth factor beta stimulus [GO:0071560]; dorsal/ventral pattern formation [GO:0009953]; dorsal aorta morphogenesis [GO:0035912]; endocardial cushion morphogenesis [GO:0003203]; endothelial tube morphogenesis [GO:0061154]; heart development [GO:0007507]; lymphangiogenesis [GO:0001946]; lymphatic endothelial cell differentiation [GO:0060836]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of cell adhesion [GO:0007162]; negative regulation of cell growth [GO:0030308]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA biosynthetic process [GO:2000279]; negative regulation of endothelial cell migration [GO:0010596]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of gene expression [GO:0010629]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of chondrocyte differentiation [GO:0032332]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein phosphorylation [GO:0006468]; regulation of blood pressure [GO:0008217]; regulation of blood vessel endothelial cell migration [GO:0043535]; regulation of DNA replication [GO:0006275]; regulation of endothelial cell proliferation [GO:0001936]; regulation of transcription, DNA-templated [GO:0006355]; retina vasculature development in camera-type eye [GO:0061298]; signal transduction [GO:0007165]; transforming growth factor beta receptor signaling pathway [GO:0007179]; venous blood vessel development [GO:0060841]; wound healing, spreading of epidermal cells [GO:0035313]	ENSG00000139567	P37023	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVRL1&keywords=ACVRL1		
ACYP2	acylphosphatase 2	No		14.900335	Acylphosphatase family	Intracellular or membrane-bound	NA	NA	acylphosphatase activity [GO:0003998]; identical protein binding [GO:0042802]	phosphate-containing compound metabolic process [GO:0006796]	ENSG00000170634	P14621	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACYP2&keywords=ACYP2		
ADA2	adenosine deaminase 2	No		38.479551	Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family, ADGF subfamily	Secreted to blood	Secreted {ECO:0000269|PubMed:15926889, ECO:0000269|PubMed:20147294, ECO:0000269|PubMed:20453107}.	azurophil granule lumen [GO:0035578]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	adenosine deaminase activity [GO:0004000]; adenosine receptor binding [GO:0031685]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; protein homodimerization activity [GO:0042803]; proteoglycan binding [GO:0043394]; zinc ion binding [GO:0008270]	adenosine catabolic process [GO:0006154]; cellular protein metabolic process [GO:0044267]; inosine biosynthetic process [GO:0046103]; multicellular organism development [GO:0007275]; neutrophil degranulation [GO:0043312]	ENSG00000093072	Q9NZK5	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA2&keywords=ADA2		
