uniprot_gn_id	Domain..CC.	Sequence.similarities	Protein.families	Coiled.coil	Compositional.bias	Domain..FT.	Motif	Region	Repeat	Zinc.finger
Q08828	DOMAIN: The protein contains two modules with six transmembrane helices each; both are required for catalytic activity. Isolated N-terminal or C-terminal guanylate cyclase domains have no catalytic activity, but when they are brought together, enzyme activity is restored. The active site is at the interface of the two domains. Both contribute substrate-binding residues, but the catalytic metal ions are bound exclusively via the N-terminal guanylate cyclase domain. {ECO:0000250|UniProtKB:P30803}.	SIMILARITY: Belongs to the adenylyl cyclase class-4/guanylyl cyclase family. {ECO:0000255|PROSITE-ProRule:PRU00099}.	Adenylyl cyclase class-4/guanylyl cyclase family	NA	NA	NA	NA	REGION 1..28;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 493..520;  /note=Interaction with calmodulin;  /evidence=ECO:0000250; REGION 1024..1047;  /note=Interaction with calmodulin;  /evidence=ECO:0000250	NA	NA
P51828	DOMAIN: The protein contains two modules with six transmembrane helices each; both are required for catalytic activity. Isolated N-terminal or C-terminal guanylate cyclase domains have no catalytic activity, but when they are brought together, enzyme activity is restored. The active site is at the interface of the two domains. Both contribute substrate-binding residues, but the catalytic metal ions are bound exclusively via the N-terminal guanylate cyclase domain. {ECO:0000250|UniProtKB:P26769}.	SIMILARITY: Belongs to the adenylyl cyclase class-4/guanylyl cyclase family. {ECO:0000255|PROSITE-ProRule:PRU00099}.	Adenylyl cyclase class-4/guanylyl cyclase family	NA	COMPBIAS 526..546;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 279..406;  /note=Guanylate cyclase 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00099; DOMAIN 879..1023;  /note=Guanylate cyclase 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00099	NA	REGION 454..474;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 477..482;  /note=Mediates regulation of adenylate cyclase activity by C5 alpha-induced G- beta and gamma pathway;  /evidence=ECO:0000269|PubMed:23229509; REGION 491..499;  /note=Mediates regulation of adenylate cyclase activity by sphingosine 1-phosphate-induced G alpha 13 pathway;  /evidence=ECO:0000269|PubMed:23229509; REGION 504..546;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 506..584;  /note=Modulates adenylate cyclase activity by modulating the binding of G(s)alpha to the high-affinity G(s)alpha binding site in 7C1a/7C2;  /evidence=ECO:0000269|PubMed:15581358	NA	NA
P40145	DOMAIN: The protein contains two modules with six transmembrane helices each; both are required for catalytic activity. Isolated N-terminal or C-terminal guanylate cyclase domains have no catalytic activity, but when they are brought together, enzyme activity is restored. The active site is at the interface of the two domains. Both contribute substrate-binding residues, but the catalytic metal ions are bound exclusively via the N-terminal guanylate cyclase domain. The two transmembrane clusters are necessary and suficient for the plasma membrane targeting and oligomers assembly. The N-terminal and C-terminal domains interact at rest as part of a larger autoinhibitory complex, with calmodulin pre-associated at the N-terminal domain; the binding is specifically inhibited by fully calcium-saturated calmodulin, resulting in activation of AC8. {ECO:0000250|UniProtKB:P26769, ECO:0000250|UniProtKB:P40146}.	SIMILARITY: Belongs to the adenylyl cyclase class-4/guanylyl cyclase family. {ECO:0000255|PROSITE-ProRule:PRU00099}.	Adenylyl cyclase class-4/guanylyl cyclase family	NA	COMPBIAS 1223..1241;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	MOTIF 38..40;  /note=Essential for CALM1 interaction;  /evidence=ECO:0000250|UniProtKB:P40146; MOTIF 49..51;  /note=Essential for CALM1 interaction;  /evidence=ECO:0000250|UniProtKB:P40146	REGION 1..182;  /note=Involved in ORAI1, STIM1, PPP2CA and PPP2R1A interaction;  /evidence=ECO:0000250|UniProtKB:P40146; REGION 1..109;  /note=Involved in AKAP5 and PRKAR2A interaction;  /evidence=ECO:0000250|UniProtKB:P40146; REGION 50..92;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1109..1251;  /note=Involved in CALM1 interaction;  /evidence=ECO:0000250|UniProtKB:P40146; REGION 1200..1215;  /note=Required for both calcium stimulation and maintenance of autoinhibition;  /evidence=ECO:0000250|UniProtKB:P40146; REGION 1223..1251;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
O60503	DOMAIN: The protein contains two modules with six transmembrane helices each; both are required for catalytic activity. Isolated N-terminal or C-terminal guanylate cyclase domains have no catalytic activity, but when they are brought together, enzyme activity is restored. The active site is at the interface of the two domains. Both contribute substrate-binding residues, but the catalytic metal ions are bound exclusively via the N-terminal guanylate cyclase domain. {ECO:0000250|UniProtKB:P26769}.	SIMILARITY: Belongs to the adenylyl cyclase class-4/guanylyl cyclase family. {ECO:0000255|PROSITE-ProRule:PRU00099}.	Adenylyl cyclase class-4/guanylyl cyclase family	NA	COMPBIAS 654..684;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 1306..1326;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 394..521;  /note=Guanylate cyclase 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00099; DOMAIN 1058..1198;  /note=Guanylate cyclase 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00099	NA	REGION 1..27;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 49..71;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 349..375;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 642..684;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1292..1326;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P41586	NA	SIMILARITY: Belongs to the G-protein coupled receptor 2 family. {ECO:0000305}.	G-protein coupled receptor 2 family	NA	NA	NA	NA	REGION 125..139;  /note=Important for ligand binding and specificity	NA	NA
Q96A54	DOMAIN: The N-terminus is cytoplasmic and the C-terminus is extracellular, contrary to what is observed for G-protein coupled receptors. Unlike G-protein coupled receptors, transmembrane helices are not kinked or tilted relative to the plane of the membrane. {ECO:0000269|PubMed:12802337}.	SIMILARITY: Belongs to the ADIPOR family. {ECO:0000305}.	ADIPOR family	NA	COMPBIAS 1..18;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 30..46;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 1..60;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q86V24	DOMAIN: The N-terminus is cytoplasmic and the C-terminus is extracellular, contrary to what is observed for G-protein coupled receptors. Unlike G-protein coupled receptors, transmembrane helices are not kinked or tilted relative to the plane of the membrane. {ECO:0000269|PubMed:12802337}.	SIMILARITY: Belongs to the ADIPOR family. {ECO:0000305}.	ADIPOR family	NA	COMPBIAS 13..41;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 1..71;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q86V241	DOMAIN: The N-terminus is cytoplasmic and the C-terminus is extracellular, contrary to what is observed for G-protein coupled receptors. Unlike G-protein coupled receptors, transmembrane helices are not kinked or tilted relative to the plane of the membrane. {ECO:0000269|PubMed:12802337}.	SIMILARITY: Belongs to the ADIPOR family. {ECO:0000305}.	ADIPOR family	NA	COMPBIAS 13..41;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 1..71;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P30542	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
P29275	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	REGION 173..182;  /note=Agonist binding;  /evidence=ECO:0000250; REGION 247..254;  /note=Agonist binding;  /evidence=ECO:0000250; REGION 266..276;  /note=Agonist binding;  /evidence=ECO:0000250	NA	NA
P08913	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. Adrenergic receptor subfamily. ADRA2A sub-subfamily. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2A sub-subfamily	NA	COMPBIAS 303..334;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 242..368;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P18089	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. Adrenergic receptor subfamily. ADRA2B sub-subfamily. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA2B sub-subfamily	NA	COMPBIAS 249..264;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 293..312;  /note=Acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 204..229;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 241..329;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P07550	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. Adrenergic receptor subfamily. ADRB2 sub-subfamily. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily	NA	COMPBIAS 394..413;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	MOTIF 410..413;  /note=PDZ-binding	REGION 392..413;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P13945	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. Adrenergic receptor subfamily. ADRB3 sub-subfamily. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB3 sub-subfamily	NA	NA	NA	NA	NA	NA	NA
O95994	NA	SIMILARITY: Belongs to the AGR family. {ECO:0000305}.	AGR family	NA	NA	NA	MOTIF 45..54;  /note=Homodimer stabilization; interchain;  /evidence=ECO:0000269|PubMed:23274113, ECO:0007744|PDB:2LNS; MOTIF 60..67;  /note=Homodimer stabilization; interchain;  /evidence=ECO:0000269|PubMed:23274113, ECO:0007744|PDB:2LNS	REGION 21..40;  /note=Required to promote cell adhesion;  /evidence=ECO:0000269|PubMed:23274113	NA	NA
P30556	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	COMPBIAS 335..351;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 335..359;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P50052	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	NA	NA	NA
Q9UM73	NA	SIMILARITY: Belongs to the protein kinase superfamily. Tyr protein kinase family. Insulin receptor subfamily. {ECO:0000255|PROSITE-ProRule:PRU00159}.	Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily	NA	COMPBIAS 1518..1532;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 264..427;  /note=MAM 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00128; DOMAIN 437..473;  /note=LDL-receptor class A; DOMAIN 478..636;  /note=MAM 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00128; DOMAIN 1116..1392;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	REGION 650..674;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1197..1199;  /note=Inhibitor binding; REGION 1408..1463;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 1514..1540;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9UKV5	DOMAIN: The CUE domain is required for recognition of misfolded proteins such as mutant CFTR. {ECO:0000250|UniProtKB:Q9R049}.; DOMAIN: The VCP/p97-interacting motif (VIM) is sufficient for binding VCP/p97 to form a complex capable of transferring VCP/p97 from the cytosol to microsomes. {ECO:0000269|PubMed:21914798}.	NA	NA	NA	COMPBIAS 504..521;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 561..579;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 456..498;  /note=CUE;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00468	NA	REGION 39..67;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 504..579;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 596..624;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 622..640;  /note=VCP/p97-interacting motif (VIM);  /evidence=ECO:0000269|PubMed:21914798	NA	ZN_FING 341..379;  /note=RING-type;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00175
Q16671	NA	SIMILARITY: Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily. {ECO:0000305}.	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	NA	NA	DOMAIN 203..518;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	NA	NA	NA
Q8J025	NA	SIMILARITY: Belongs to the APCDD1 family. {ECO:0000305}.	APCDD1 family	NA	NA	NA	NA	REGION 438..460;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P35414	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family	NA	NA	NA	NA	REGION 342..380;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q06481	NA	SIMILARITY: Belongs to the APP family. {ECO:0000255|PROSITE-ProRule:PRU01217}.	APP family	NA	COMPBIAS 215..236;  /note=Acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 245..270;  /note=Acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 271..286;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 46..205;  /note=E1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01217; DOMAIN 306..364;  /note=BPTI/Kunitz inhibitor;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00031; DOMAIN 373..564;  /note=E2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01218	MOTIF 750..755;  /note=NPXY motif	REGION 46..139;  /note=GFLD subdomain;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01217; REGION 147..205;  /note=CuBD subdomain;  /evidence=ECO:0000255|PROSITE-ProRule:PRU01217; REGION 211..299;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 749..763;  /note=Interaction with DAB2;  /evidence=ECO:0000250	NA	NA
P29972	DOMAIN: Aquaporins contain two tandem repeats each containing three membrane-spanning domains and a pore-forming loop with the signature motif Asn-Pro-Ala (NPA).	SIMILARITY: Belongs to the MIP/aquaporin (TC 1.A.8) family. {ECO:0000305}.	MIP/aquaporin (TC 1.A.8) family	NA	NA	NA	MOTIF 76..78;  /note=NPA 1; MOTIF 192..194;  /note=NPA 2	NA	NA	NA
P52961	NA	SIMILARITY: Belongs to the Arg-specific ADP-ribosyltransferase family. {ECO:0000305}.	Arg-specific ADP-ribosyltransferase family	NA	NA	NA	NA	NA	NA	NA
P07306	NA	NA	NA	COILED 61..123;  /evidence=ECO:0000255	COMPBIAS 1..22;  /note=Basic and acidic residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 161..278;  /note=C-type lectin;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00040	MOTIF 5..8;  /note=Endocytosis signal;  /evidence=ECO:0000255	REGION 1..30;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P07307	NA	NA	NA	NA	COMPBIAS 1..16;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	DOMAIN 176..302;  /note=C-type lectin;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00040	MOTIF 5..8;  /note=Endocytosis signal;  /evidence=ECO:0000255	REGION 1..44;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
Q9UHC3	DOMAIN: The PDZ domain-binding motif is involved in interaction with LIN7A, GOPC and MAGI1.	SIMILARITY: Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family. ASIC3 subfamily. {ECO:0000305}.	Amiloride-sensitive sodium channel (TC 1.A.6) family, ASIC3 subfamily	NA	NA	NA	MOTIF 528..531;  /note=PDZ-binding	REGION 285..307;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P13637	NA	SIMILARITY: Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IIC subfamily. {ECO:0000305}.	Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIC subfamily	NA	NA	NA	NA	REGION 1..24;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 72..74;  /note=Interaction with phosphoinositide-3 kinase;  /evidence=ECO:0000250	NA	NA
O75787	NA	NA	NA	NA	NA	NA	MOTIF 346..350;  /note=Mediates retrograde transport to the ER;  /evidence=ECO:0000269|PubMed:29127204	NA	NA	NA
O75882	NA	NA	NA	NA	NA	DOMAIN 101..129;  /note=EGF-like;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00076; DOMAIN 132..248;  /note=CUB;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00059; DOMAIN 703..748;  /note=PSI 1; DOMAIN 755..794;  /note=PSI 2; DOMAIN 795..919;  /note=C-type lectin;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00040; DOMAIN 932..983;  /note=PSI 3; DOMAIN 986..1061;  /note=PSI 4; DOMAIN 1063..1108;  /note=Laminin EGF-like 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460; DOMAIN 1109..1157;  /note=Laminin EGF-like 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00460	NA	NA	REPEAT 352..402;  /note=Kelch 1; REPEAT 404..451;  /note=Kelch 2; REPEAT 461..508;  /note=Kelch 3; REPEAT 513..564;  /note=Kelch 4; REPEAT 566..624;  /note=Kelch 5; REPEAT 625..671;  /note=Kelch 6	NA
P37288	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. Vasopressin/oxytocin receptor subfamily. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily	NA	COMPBIAS 383..410;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 1..43;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 377..410;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P47901	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. Vasopressin/oxytocin receptor subfamily. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily	NA	NA	NA	NA	REGION 1..22;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 398..417;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P30518	NA	SIMILARITY: Belongs to the G-protein coupled receptor 1 family. Vasopressin/oxytocin receptor subfamily. {ECO:0000255|PROSITE-ProRule:PRU00521}.	G-protein coupled receptor 1 family, Vasopressin/oxytocin receptor subfamily	NA	COMPBIAS 1..29;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite; COMPBIAS 352..371;  /note=Polar residues;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA	REGION 1..30;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 240..259;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 349..371;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
P30530	NA	SIMILARITY: Belongs to the protein kinase superfamily. Tyr protein kinase family. AXL/UFO subfamily. {ECO:0000255|PROSITE-ProRule:PRU00159}.	Protein kinase superfamily, Tyr protein kinase family, AXL/UFO subfamily	NA	NA	DOMAIN 27..128;  /note=Ig-like C2-type 1; DOMAIN 139..222;  /note=Ig-like C2-type 2; DOMAIN 227..331;  /note=Fibronectin type-III 1;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 336..428;  /note=Fibronectin type-III 2;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00316; DOMAIN 536..807;  /note=Protein kinase;  /evidence=ECO:0000255|PROSITE-ProRule:PRU00159	NA	REGION 26..92;  /note=Interaction with GAS6; REGION 823..853;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite; REGION 866..894;  /note=Disordered;  /evidence=ECO:0000256|SAM:MobiDB-lite	NA	NA
