uniprot_gn_id	Subcellular.location..CC.	Intramembrane	Topological.domain	Transmembrane
Q08828	SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:P19754}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P19754}. Cell membrane {ECO:0000269|PubMed:11549699}; Multi-pass membrane protein {ECO:0000305}. Cytoplasm {ECO:0000250|UniProtKB:O88444}. Membrane raft {ECO:0000250|UniProtKB:P19754}. Note=Expressed in the cytoplasm of supporting cells and hair cells of the cochlea vestibule, as well as to the cochlear hair cell nuclei and stereocilia. {ECO:0000250|UniProtKB:O88444}.	NA	TOPO_DOM 1..63;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 235..610;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 795..1119;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 64..84;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 88..108;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 125..145;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 158..178;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 183..203;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 214..234;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 611..631;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 635..655;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 674..694;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 725..745;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 753..773;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 775..794;  /note=Helical;  /evidence=ECO:0000255
P51828	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.	NA	TOPO_DOM 1..33;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 197..594;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 815..1080;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 34..54;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 63..83;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 95..117;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 122..142;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 147..167;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 176..196;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 595..615;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 620..640;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 669..688;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 718..737;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 746..773;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 794..814;  /note=Helical;  /evidence=ECO:0000255
P40145	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P97490}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P97490}. Basolateral cell membrane {ECO:0000250|UniProtKB:P97490}. Apical cell membrane {ECO:0000250|UniProtKB:P97490}. Cell junction, synapse {ECO:0000250|UniProtKB:P97490}. Cell projection, dendrite {ECO:0000250|UniProtKB:P97490}. Cell projection, axon {ECO:0000250|UniProtKB:P97490}. Cell junction, synapse, presynaptic cell membrane {ECO:0000250|UniProtKB:P97490}. Cell junction, synapse, postsynaptic density {ECO:0000250|UniProtKB:P97490}. Membrane raft {ECO:0000250|UniProtKB:P40146}. Membrane, coated pit {ECO:0000250|UniProtKB:P40146}. Cytoplasmic vesicle, clathrin-coated vesicle membrane {ECO:0000250|UniProtKB:P40146}. Membrane, caveola {ECO:0000250|UniProtKB:P40146}. Note=Localized to dendritic arbors (By similarity). Monomeric N-glycosylated species localizes in membrane raft. In contrast, monomeric unglycosylated forms are enriched in clathrin-coated pits and vesicles. Dimers are also localized outside of membrane rafts. Membrane raft localization and integrity is indispensable for CCE-stimulated adenylate cyclase activity (By similarity). {ECO:0000250|UniProtKB:P40146, ECO:0000250|UniProtKB:P97490}.	NA	TOPO_DOM 1..182;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 342..715;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 915..1251;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 183..203;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 212..232;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 247..267;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 274..294;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 296..316;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 321..341;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 716..736;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 738..758;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 787..807;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 831..851;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 861..881;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 894..914;  /note=Helical;  /evidence=ECO:0000255
O60503	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10987815, ECO:0000269|PubMed:9628827}; Multi-pass membrane protein {ECO:0000305}.	NA	TOPO_DOM 1..117;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 139..141;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 163..171;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 193..215;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 236..241;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 260..280;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 302..786;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 808..818;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 840..867;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 889..891;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 913..920;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 942..975;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 997..1353;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 118..138;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 142..162;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 172..192;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 216..235;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 242..259;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 281..301;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 787..807;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 819..839;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 868..888;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 892..912;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 921..941;  /note=Helical;  /evidence=ECO:0000255; TRANSMEM 976..996;  /note=Helical;  /evidence=ECO:0000255
P41586	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	NA	TOPO_DOM 21..155;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 179..186;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 206..227;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 254..268;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 292..309;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 333..350;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 372..385;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 406..468;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 156..178;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 187..205;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 228..253;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 269..291;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 310..332;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 351..371;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 386..405;  /note=Helical; Name=7;  /evidence=ECO:0000255
Q96A54	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12802337, ECO:0000269|PubMed:25855295}; Multi-pass membrane protein {ECO:0000269|PubMed:12802337, ECO:0000269|PubMed:25855295}. Note=Localized to the cell membrane and intracellular organelles. {ECO:0000269|PubMed:12802337}.	NA	TOPO_DOM 1..136;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 158..170;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 192..203;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 225..234;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 256..264;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 286..298;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 320..337;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 359..375;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:25855295	TRANSMEM 137..157;  /note=Helical; Name=1;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 171..191;  /note=Helical; Name=2;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 204..224;  /note=Helical; Name=3;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 235..255;  /note=Helical; Name=4;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 265..285;  /note=Helical; Name=5;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 299..319;  /note=Helical; Name=6;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 338..358;  /note=Helical; Name=7;  /evidence=ECO:0000269|PubMed:25855295
Q86V24	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12802337, ECO:0000269|PubMed:25855295}; Multi-pass membrane protein {ECO:0000269|PubMed:12802337, ECO:0000269|PubMed:25855295}. Note=Localized to the cell membrane and intracellular organelles. {ECO:0000269|PubMed:12802337}.	NA	TOPO_DOM 1..147;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 169..181;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 203..213;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 235..245;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 267..273;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 295..309;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 331..348;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 370..386;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:25855295	TRANSMEM 148..168;  /note=Helical; Name=1;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 182..202;  /note=Helical; Name=2;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 214..234;  /note=Helical; Name=3;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 246..266;  /note=Helical; Name=4;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 274..294;  /note=Helical; Name=5;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 310..330;  /note=Helical; Name=6;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 349..369;  /note=Helical; Name=7;  /evidence=ECO:0000269|PubMed:25855295
Q86V241	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12802337, ECO:0000269|PubMed:25855295}; Multi-pass membrane protein {ECO:0000269|PubMed:12802337, ECO:0000269|PubMed:25855295}. Note=Localized to the cell membrane and intracellular organelles. {ECO:0000269|PubMed:12802337}.	NA	TOPO_DOM 1..147;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 169..181;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 203..213;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 235..245;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 267..273;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 295..309;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 331..348;  /note=Cytoplasmic;  /evidence=ECO:0000269|PubMed:25855295; TOPO_DOM 370..386;  /note=Extracellular;  /evidence=ECO:0000269|PubMed:25855295	TRANSMEM 148..168;  /note=Helical; Name=1;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 182..202;  /note=Helical; Name=2;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 214..234;  /note=Helical; Name=3;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 246..266;  /note=Helical; Name=4;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 274..294;  /note=Helical; Name=5;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 310..330;  /note=Helical; Name=6;  /evidence=ECO:0000269|PubMed:25855295; TRANSMEM 349..369;  /note=Helical; Name=7;  /evidence=ECO:0000269|PubMed:25855295
P30542	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:27134041}; Multi-pass membrane protein.	NA	TOPO_DOM 1..10;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 34..46;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 70..80;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 103..123;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 147..176;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 202..235;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 260..267;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 293..326;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 11..33;  /note=Helical; Name=1;  /evidence=ECO:0000255; TRANSMEM 47..69;  /note=Helical; Name=2;  /evidence=ECO:0000255; TRANSMEM 81..102;  /note=Helical; Name=3;  /evidence=ECO:0000255; TRANSMEM 124..146;  /note=Helical; Name=4;  /evidence=ECO:0000255; TRANSMEM 177..201;  /note=Helical; Name=5;  /evidence=ECO:0000255; TRANSMEM 236..259;  /note=Helical; Name=6;  /evidence=ECO:0000255; TRANSMEM 268..292;  /note=Helical; Name=7;  /evidence=ECO:0000255
P29275	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	NA	TOPO_DOM 1..8;  /note=Extracellular;  /evidence=ECO:0000250; TOPO_DOM 34..43;  /note=Cytoplasmic;  /evidence=ECO:0000250; TOPO_DOM 68..78;  /note=Extracellular;  /evidence=ECO:0000250; TOPO_DOM 102..121;  /note=Cytoplasmic;  /evidence=ECO:0000250; TOPO_DOM 145..178;  /note=Extracellular;  /evidence=ECO:0000250; TOPO_DOM 204..235;  /note=Cytoplasmic;  /evidence=ECO:0000250; TOPO_DOM 260..267;  /note=Extracellular;  /evidence=ECO:0000250; TOPO_DOM 292..332;  /note=Cytoplasmic;  /evidence=ECO:0000250	TRANSMEM 9..33;  /note=Helical; Name=1;  /evidence=ECO:0000250; TRANSMEM 44..67;  /note=Helical; Name=2;  /evidence=ECO:0000250; TRANSMEM 79..101;  /note=Helical; Name=3;  /evidence=ECO:0000250; TRANSMEM 122..144;  /note=Helical; Name=4;  /evidence=ECO:0000250; TRANSMEM 179..203;  /note=Helical; Name=5;  /evidence=ECO:0000250; TRANSMEM 236..259;  /note=Helical; Name=6;  /evidence=ECO:0000250; TRANSMEM 268..291;  /note=Helical; Name=7;  /evidence=ECO:0000250
P08913	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23105096}; Multi-pass membrane protein {ECO:0000269|PubMed:23105096}.	NA	TOPO_DOM 1..48;  /note=Extracellular;  /evidence=ECO:0000250; TOPO_DOM 75..85;  /note=Cytoplasmic;  /evidence=ECO:0000250; TOPO_DOM 112..121;  /note=Extracellular;  /evidence=ECO:0000250; TOPO_DOM 145..166;  /note=Cytoplasmic;  /evidence=ECO:0000250; TOPO_DOM 188..209;  /note=Extracellular;  /evidence=ECO:0000250; TOPO_DOM 233..389;  /note=Cytoplasmic;  /evidence=ECO:0000250; TOPO_DOM 411..424;  /note=Extracellular;  /evidence=ECO:0000250; TOPO_DOM 445..465;  /note=Cytoplasmic;  /evidence=ECO:0000250	TRANSMEM 49..74;  /note=Helical; Name=1;  /evidence=ECO:0000250; TRANSMEM 86..111;  /note=Helical; Name=2;  /evidence=ECO:0000250; TRANSMEM 122..144;  /note=Helical; Name=3;  /evidence=ECO:0000250; TRANSMEM 167..187;  /note=Helical; Name=4;  /evidence=ECO:0000250; TRANSMEM 210..232;  /note=Helical; Name=5;  /evidence=ECO:0000250; TRANSMEM 390..410;  /note=Helical; Name=6;  /evidence=ECO:0000250; TRANSMEM 425..444;  /note=Helical; Name=7;  /evidence=ECO:0000250
P18089	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23105096, ECO:0000269|PubMed:26811329, ECO:0000269|PubMed:27901063}; Multi-pass membrane protein {ECO:0000269|PubMed:23105096}. Note=Interaction with RAB26, GGA1, GGA2 and GGA3 mediates transport from the Golgi to the cell membrane. {ECO:0000269|PubMed:23105096, ECO:0000269|PubMed:26811329, ECO:0000269|PubMed:27901063}.	NA	TOPO_DOM 1..12;  /note=Extracellular;  /evidence=ECO:0000250; TOPO_DOM 39..48;  /note=Cytoplasmic;  /evidence=ECO:0000250; TOPO_DOM 70..86;  /note=Extracellular;  /evidence=ECO:0000250; TOPO_DOM 108..128;  /note=Cytoplasmic;  /evidence=ECO:0000250; TOPO_DOM 150..172;  /note=Extracellular;  /evidence=ECO:0000250; TOPO_DOM 194..368;  /note=Cytoplasmic;  /evidence=ECO:0000250; TOPO_DOM 390..405;  /note=Extracellular;  /evidence=ECO:0000250; TOPO_DOM 427..450;  /note=Cytoplasmic;  /evidence=ECO:0000250	TRANSMEM 13..38;  /note=Helical; Name=1;  /evidence=ECO:0000250; TRANSMEM 49..69;  /note=Helical; Name=2;  /evidence=ECO:0000250; TRANSMEM 87..107;  /note=Helical; Name=3;  /evidence=ECO:0000250; TRANSMEM 129..149;  /note=Helical; Name=4;  /evidence=ECO:0000250; TRANSMEM 173..193;  /note=Helical; Name=5;  /evidence=ECO:0000250; TRANSMEM 369..389;  /note=Helical; Name=6;  /evidence=ECO:0000250; TRANSMEM 406..426;  /note=Helical; Name=7;  /evidence=ECO:0000250
