UniProt.accession	Subcellular.location..CC.	Intramembrane	Topological.domain	Transmembrane
P02452	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000255|PROSITE-ProRule:PRU00793}.	NA	NA	NA
P04275	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10961880}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:10961880}. Note=Localized to storage granules.	NA	NA	NA
Q9NPF7	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11114383}. Note=Secreted upon association with IL12B.	NA	NA	NA
P01579	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
Q16552	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:17763419, ECO:0000269|PubMed:8676080}.	NA	NA	NA
P15692	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11563986, ECO:0000269|PubMed:11731620, ECO:0000269|PubMed:15896327}. Note=VEGF121 is acidic and freely secreted. VEGF165 is more basic, has heparin-binding properties and, although a significant proportion remains cell-associated, most is freely secreted. VEGF189 is very basic, it is cell-associated after secretion and is bound avidly by heparin and the extracellular matrix, although it may be released as a soluble form by heparin, heparinase or plasmin.	NA	NA	NA
P10912	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Note=On growth hormone binding, GHR is ubiquitinated, internalized, down-regulated and transported into a degradative or non-degradative pathway. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Single-pass type I membrane protein. Note=Remains fixed to the cell membrane and is not internalized.; SUBCELLULAR LOCATION: [Growth hormone-binding protein]: Secreted. Note=Complexed to a substantial fraction of circulating GH. {ECO:0000250}.	NA	TOPO_DOM 19..264;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 289..638;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 265..288;  /note=Helical;  /evidence=ECO:0000255
P29460	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P16471	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:11518703, ECO:0000269|PubMed:12580759}; Single-pass type I membrane protein {ECO:0000269|PubMed:11518703, ECO:0000269|PubMed:12580759}.; SUBCELLULAR LOCATION: [Isoform 7]: Secreted.	NA	TOPO_DOM 25..234;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 259..622;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 235..258;  /note=Helical;  /evidence=ECO:0000255
P05113	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
P05230	SUBCELLULAR LOCATION: Secreted. Cytoplasm. Cytoplasm, cell cortex. Cytoplasm, cytosol. Nucleus. Note=Lacks a cleavable signal sequence. Within the cytoplasm, it is transported to the cell membrane and then secreted by a non-classical pathway that requires Cu(2+) ions and S100A13. Secreted in a complex with SYT1 (By similarity). Binding of exogenous FGF1 to FGFR facilitates endocytosis followed by translocation of FGF1 across endosomal membrane into the cytosol. Nuclear import from the cytosol requires the classical nuclear import machinery, involving proteins KPNA1 and KPNB1, as well as LRRC59. {ECO:0000250}.	NA	NA	NA
P06276	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:19368529, ECO:0000269|PubMed:19542320}.	NA	NA	NA
P13612	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 35..977;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 1002..1032;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 978..1001;  /note=Helical;  /evidence=ECO:0000255
P02751	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305|PubMed:29100092}.	NA	NA	NA
P14778	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:8142597}; Single-pass type I membrane protein {ECO:0000269|PubMed:8142597}. Cell membrane {ECO:0000305|PubMed:8142597}. Secreted {ECO:0000269|PubMed:8142597}.	NA	TOPO_DOM 18..336;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 357..569;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 337..356;  /note=Helical;  /evidence=ECO:0000255
P07202	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Cell surface.	NA	TOPO_DOM 19..846;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 872..933;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 847..871;  /note=Helical;  /evidence=ECO:0000255
P04070	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:25618265}. Golgi apparatus {ECO:0000269|PubMed:22531345, ECO:0000269|PubMed:25748729}. Endoplasmic reticulum {ECO:0000269|PubMed:22531345, ECO:0000269|PubMed:25748729}.	NA	NA	NA
P48357	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19159218}; Single-pass type I membrane protein {ECO:0000305}. Basolateral cell membrane {ECO:0000269|PubMed:19159218}.; SUBCELLULAR LOCATION: [Isoform E]: Secreted {ECO:0000250|UniProtKB:P48356}.	NA	TOPO_DOM 22..839;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 863..1165;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 840..862;  /note=Helical;  /evidence=ECO:0000255
P13726	SUBCELLULAR LOCATION: [Isoform 1]: Membrane {ECO:0000269|PubMed:12652293}; Single-pass type I membrane protein {ECO:0000269|PubMed:12652293}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:12652293}.	NA	TOPO_DOM 33..251;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 275..295;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 252..274;  /note=Helical;  /evidence=ECO:0000255
P01008	SUBCELLULAR LOCATION: Secreted, extracellular space.	NA	NA	NA
P22894	SUBCELLULAR LOCATION: Cytoplasmic granule. Secreted, extracellular space, extracellular matrix {ECO:0000305}. Note=Stored in intracellular granules.	NA	NA	NA
Q99062	SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:24753537}; Single-pass type I membrane protein {ECO:0000255}.	NA	TOPO_DOM 25..627;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 651..836;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 628..650;  /note=Helical;  /evidence=ECO:0000255
P49763	SUBCELLULAR LOCATION: Secreted. Note=The three isoforms are secreted but PlGF-2 appears to remain cell attached unless released by heparin.	NA	NA	NA
P14735	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:20364150, ECO:0000269|PubMed:9830016}. Cell membrane {ECO:0000250|UniProtKB:P35559}. Secreted {ECO:0000269|PubMed:9830016}. Note=Present at the cell surface of neuron cells. The membrane-associated isoform is approximately 5 kDa larger than the known cytosolic isoform.	NA	NA	NA
P34998	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Endosome. Note=Agonist-binding promotes endocytosis.	NA	TOPO_DOM 24..111;  /note=Extracellular; TOPO_DOM 143..178;  /note=Cytoplasmic; TOPO_DOM 204..218;  /note=Extracellular; TOPO_DOM 248..254;  /note=Cytoplasmic; TOPO_DOM 283..298;  /note=Extracellular; TOPO_DOM 325..335;  /note=Cytoplasmic; TOPO_DOM 361..367;  /note=Extracellular; TOPO_DOM 398..444;  /note=Cytoplasmic	TRANSMEM 112..142;  /note=Helical; Name=1; TRANSMEM 179..203;  /note=Helical; Name=2; TRANSMEM 219..247;  /note=Helical; Name=3; TRANSMEM 255..282;  /note=Helical; Name=4; TRANSMEM 299..324;  /note=Helical; Name=5; TRANSMEM 336..360;  /note=Helical; Name=6; TRANSMEM 368..397;  /note=Helical; Name=7
Q02763	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18425119, ECO:0000269|PubMed:18425120, ECO:0000269|PubMed:19079259, ECO:0000269|PubMed:27270174}; Single-pass type I membrane protein. Cell junction {ECO:0000269|PubMed:18425119, ECO:0000269|PubMed:18425120, ECO:0000269|PubMed:27270174}. Cell junction, focal adhesion {ECO:0000305|PubMed:19293632}. Cytoplasm, cytoskeleton. Secreted {ECO:0000269|PubMed:11806244}. Note=Recruited to cell-cell contacts in quiescent endothelial cells (PubMed:18425120, PubMed:18425119). Colocalizes with the actin cytoskeleton and at actin stress fibers during cell spreading. Recruited to the lower surface of migrating cells, especially the rear end of the cell. Proteolytic processing gives rise to a soluble extracellular domain that is secreted (PubMed:11806244). {ECO:0000269|PubMed:11806244, ECO:0000269|PubMed:18425119, ECO:0000269|PubMed:18425120}.	NA	TOPO_DOM 23..748;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 770..1124;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 749..769;  /note=Helical;  /evidence=ECO:0000255
O14788	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type II membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane; Single-pass type II membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000250}.; SUBCELLULAR LOCATION: [Tumor necrosis factor ligand superfamily member 11, soluble form]: Secreted {ECO:0000250}.	NA	TOPO_DOM 1..47;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 69..317;  /note=Extracellular;  /evidence=ECO:0000255	TRANSMEM 48..68;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
P33681	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	NA	TOPO_DOM 35..242;  /note=Extracellular;  /evidence=ECO:0000255; TOPO_DOM 264..288;  /note=Cytoplasmic;  /evidence=ECO:0000255	TRANSMEM 243..263;  /note=Helical;  /evidence=ECO:0000255
P00747	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10077593, ECO:0000269|PubMed:14699093}. Note=Locates to the cell surface where it is proteolytically cleaved to produce the active plasmin. Interaction with HRG tethers it to the cell surface.	NA	NA	NA
P00749	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:24434139}.	NA	NA	NA
Q99542	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	NA	NA	NA
P09172	SUBCELLULAR LOCATION: [Soluble dopamine beta-hydroxylase]: Cytoplasmic vesicle, secretory vesicle lumen {ECO:0000269|PubMed:7961964}. Cytoplasmic vesicle, secretory vesicle, chromaffin granule lumen {ECO:0000269|PubMed:7961964}. Secreted {ECO:0000269|PubMed:7961964, ECO:0000269|PubMed:8546710}.; SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000269|PubMed:7961964}; Single-pass type II membrane protein {ECO:0000305}. Cytoplasmic vesicle, secretory vesicle, chromaffin granule membrane {ECO:0000269|PubMed:7961964}; Single-pass type II membrane protein {ECO:0000305}.	NA	TOPO_DOM 1..16;  /note=Cytoplasmic;  /evidence=ECO:0000255; TOPO_DOM 38..617;  /note=Intragranular;  /evidence=ECO:0000255	TRANSMEM 17..37;  /note=Helical; Signal-anchor for type II membrane protein;  /evidence=ECO:0000255
P00488	SUBCELLULAR LOCATION: Cytoplasm. Secreted {ECO:0000269|PubMed:4405643}. Note=Secreted into the blood plasma. Cytoplasmic in most tissues, but also secreted in the blood plasma.	NA	NA	NA
P01584	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:15192144}. Lysosome {ECO:0000269|PubMed:15192144}. Secreted, extracellular exosome {ECO:0000250|UniProtKB:P10749}. Secreted {ECO:0000269|PubMed:11728343, ECO:0000269|PubMed:15192144}. Note=The precursor is cytosolic. In response to inflammasome-activating signals, such as ATP for NLRP3 inflammasome or bacterial flagellin for NLRC4 inflammasome, cleaved and secreted. IL1B lacks any known signal sequence and the pathway(s) of its secretion is(are) not yet fully understood (PubMed:24201029). On the basis of experimental results, several unconventional secretion mechanisms have been proposed. 1. Secretion via secretory lysosomes: a fraction of CASP1 and IL1B precursor may be incorporated, by a yet undefined mechanism, into secretory lysosomes that undergo Ca(2+)-dependent exocytosis with release of mature IL1B (PubMed:15192144). 2. Secretory autophagy: IL1B-containing autophagosomes may fuse with endosomes or multivesicular bodies (MVBs) and then merge with the plasma membrane releasing soluble IL1B or IL1B-containing exosomes (PubMed:24201029). However, autophagy impacts IL1B production at several levels and its role in secretion is still controversial. 3. Secretion via exosomes: ATP-activation of P2RX7 leads to the formation of MVBs containing exosomes with entrapped IL1B, CASP1 and other inflammasome components. These MVBs undergo exocytosis with the release of exosomes. The release of soluble IL1B occurs after the lysis of exosome membranes (By similarity). 4. Secretion by microvesicle shedding: activation of the ATP receptor P2RX7 may induce an immediate shedding of membrane-derived microvesicles containing IL1B and possibly inflammasome components. The cytokine is then released in the extracellular compartment after microvesicle lysis (PubMed:11728343). 5. Release by translocation through permeabilized plasma membrane. This may occur in cells undergoing pyroptosis due to sustained activation of the inflammasome (By similarity). 6. The secretion is dependent on protein unfolding and facilitated by the cargo receptor TMED10; it results in the protein translocation from the cytoplasm into the ERGIC (endoplasmic reticulum-Golgi intermediate compartment) followed by vesicle entry and secretion, and enhanced by chaperones HSP90AB1 and HSP90B1/GRP9 (PubMed:32272059). These mechanisms may not be mutually exclusive. {ECO:0000250|UniProtKB:P10749, ECO:0000269|PubMed:11728343, ECO:0000269|PubMed:15192144, ECO:0000269|PubMed:32272059, ECO:0000305|PubMed:24201029}.	NA	NA	NA
P01024	SUBCELLULAR LOCATION: Secreted.	NA	NA	NA
